uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.795	1.115	최저	[]
1	1	2	AH0001	1.155	1.596	임금으로	[]
1	1	3	AH0001	1.676	2.396	고통받는	[]
1	1	4	AH0001	2.857	3.217	영세자	[]
1	1	5	AH0001	3.437	4.178	영업자나	[]
1	1	6	AH0001	4.358	4.858	중소기업	[]
1	1	7	AH0001	4.938	5.119	같은	[]
1	1	8	AH0001	5.219	5.439	데서	[]
1	1	9	AH0001	5.479	5.679	오히려	[]
1	1	10	AH0001	5.699	6.119	일자리가	[]
1	1	11	AH0001	6.2	6.62	준다는	[1]
1	1	12	AH0001	6.68	6.98	얘기가	[]
1	1	13	AH0001	7.02	7.561	나왔고	[2]
1	1	14	AH0001	8.201	8.662	일자리가	[]
1	1	15	AH0001	8.882	8.962	아	[]
1	1	16	AH0001	9.022	9.122	저	[]
1	1	17	AH0001	9.182	9.602	근로시간	[]
1	1	18	AH0001	9.682	10.043	단축을	[]
1	1	19	AH0001	10.083	10.543	했지만	[]
1	1	20	AH0001	11.044	11.164	사실	[]
1	1	21	AH0001	11.244	11.704	중소기업	[]
1	1	22	AH0001	11.924	12.265	노동자들은	[]
1	2	1	AH0001	13.043	13.223	그것	[]
1	2	2	AH0001	13.323	13.663	때문에	[]
1	2	3	AH0001	13.823	13.944	난	[]
1	2	4	AH0001	14.064	14.384	수입이	[]
1	2	5	AH0001	14.404	14.544	오히려	[]
1	2	6	AH0001	14.624	15.985	줄었다.	[3]
1	2	7	AH0001	16.005	16.185	오히려	[]
1	2	8	AH0001	16.245	16.345	난	[]
1	2	9	AH0001	16.425	16.845	야근하고	[]
1	2	10	AH0001	16.905	17.085	싶다.	[4]
1	2	11	AH0001	18.066	18.326	사람은	[]
1	2	12	AH0001	18.426	18.486	더	[]
1	2	13	AH0001	18.526	18.586	안	[]
1	2	14	AH0001	18.686	19.327	뽑아준다.	[]
1	2	15	AH0001	19.347	19.667	뭐	[5]
1	2	16	AH0001	19.987	20.207	이런	[]
1	2	17	AH0001	20.307	20.828	형편이고	[6]
1	2	18	AH0001	21.588	21.728	이	[]
1	2	19	AH0001	21.748	22.269	이것도	[]
1	2	20	AH0001	22.329	23.029	약간의	[]
1	2	21	AH0001	23.289	23.73	정책의	[]
1	2	22	AH0001	23.79	24.53	이상과	[]
1	2	23	AH0001	24.55	24.73	현실	[]
1	2	24	AH0001	24.79	24.93	사이의	[]
1	2	25	AH0001	25.05	25.331	충돌	[]
1	2	26	AH0001	25.351	26.131	아니겠습니까?	[]
2	3	1	AH0002	26.239	26.842	모든	[]
2	3	2	AH0002	26.942	27.746	경제정책은	[]
2	3	3	AH0002	27.847	28.39	긍정적인	[]
2	3	4	AH0002	28.49	28.892	효과도	[]
2	3	5	AH0002	28.932	29.133	있고	[]
2	3	6	AH0002	29.254	29.756	부정적인	[7]
2	3	7	AH0002	29.777	29.957	효과	[]
2	3	8	AH0002	30.239	30.279	다	[]
2	3	9	AH0002	30.339	30.882	있습니다.	[]
2	4	1	AH0002	30.989	31.834	플러스마이너스	[8]
2	4	2	AH0002	32.095	32.115	다	[]
2	4	3	AH0002	32.136	32.498	나타나는	[]
2	4	4	AH0002	32.578	33.081	거거든요.	[]
2	5	1	AH0002	33.335	33.456	그게	[]
2	5	2	AH0002	33.536	33.898	이제	[]
2	5	3	AH0002	34.36	35.103	긍정적이고	[]
2	5	4	AH0002	35.224	35.324	그	[]
2	5	5	AH0002	35.405	35.806	정책의	[]
2	5	6	AH0002	35.907	36.249	혜택을	[]
2	5	7	AH0002	36.349	36.53	보는	[]
