uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.982	쿨의	[]
1	1	2	AH0001	1.583	1.864	해변의	[]
1	1	3	AH0001	1.945	2.065	여인	[]
1	2	1	AH0001	2.426	3.973	슬기로운	[]
1	2	2	AH0001	4.053	4.315	젠더	[]
1	2	3	AH0001	4.395	4.696	생활	[]
1	2	4	AH0001	5.158	5.46	@이름2	[]
1	2	5	AH0001	5.52	5.922	변호사님	[]
1	2	6	AH0001	5.942	6.505	나오셨습니다	[]
1	2	7	AH0001	6.665	7.127	어서	[]
1	2	8	AH0001	7.148	7.248	오세요.	[]
2	3	1	AH0002	7.248	7.47	네	[]
2	3	2	AH0002	7.511	8.137	안녕하세요.	[]
3	4	1	AH0001	8.683	9.249	휴가	[]
3	4	2	AH0001	9.31	9.371	좀	[]
3	4	3	AH0001	9.411	10.321	가셨어요?	[]
4	5	1	AH0002	10.706	10.786	아	[]
4	5	2	AH0002	10.886	11.127	그까	[]
4	5	3	AH0002	11.207	11.448	저희	[]
4	5	4	AH0002	11.528	11.769	사실	[]
4	5	5	AH0002	11.989	12.17	칠	[]
4	5	6	AH0002	12.31	12.47	말	[]
4	5	7	AH0002	12.611	12.791	팔	[]
4	5	8	AH0002	12.811	13.032	초가	[]
4	5	9	AH0002	13.112	13.392	법정	[]
4	5	10	AH0002	13.433	13.974	휴정기라고	[]
4	5	11	AH0002	14.014	14.475	해서	[]
4	5	12	AH0002	14.936	15.858	변호사들에게	[]
4	5	13	AH0002	15.939	16.039	좀	[]
4	5	14	AH0002	16.179	16.34	맘	[]
4	5	15	AH0002	16.52	16.841	놓고	[]
4	5	16	AH0002	16.901	16.961	좀	[]
4	5	17	AH0002	16.961	17.081	쉴	[]
4	5	18	AH0002	17.081	17.162	수	[]
4	5	19	AH0002	17.202	17.402	있는	[]
4	5	20	AH0002	17.482	17.563	좀	[]
4	5	21	AH0002	17.703	18.264	기회잖아요.	[1]
4	6	1	AH0002	19.059	19.279	그래서	[]
4	6	2	AH0002	19.299	19.52	저도	[]
4	6	3	AH0002	19.66	19.84	휴가	[]
4	6	4	AH0002	19.94	20.26	계획을	[]
4	6	5	AH0002	20.341	20.721	아주	[]
4	6	6	AH0002	20.921	21.262	화려하게	[]
4	6	7	AH0002	21.322	21.422	세워	[]
4	6	8	AH0002	21.482	21.962	놨는데	[2]
4	6	9	AH0002	22.563	22.583	또	[]
4	6	10	AH0002	22.723	23.444	거리두기가	[]
4	6	11	AH0002	23.524	24.345	격상되는	[]
4	6	12	AH0002	24.465	24.606	그	[]
4	6	13	AH0002	24.706	25.246	시점이라서	[3]
4	6	14	AH0002	25.367	26.027	결국	[]
4	6	15	AH0002	26.368	26.448	다	[]
4	6	16	AH0002	26.488	27.409	취소했습니다.	[]
5	7	1	AH0001	27.524	27.564	아	[]
5	7	2	AH0001	27.744	27.945	저도	[]
5	7	3	AH0001	28.045	28.285	지금	[]
5	7	4	AH0001	28.466	28.907	휴가를	[]
5	7	5	AH0001	28.947	28.987	그냥	[]
5	7	6	AH0001	30.59	30.71	한	[]
5	7	7	AH0001	30.79	30.81	일	[]
5	7	8	AH0001	30.951	31.051	박	[]
5	7	9	AH0001	31.151	31.532	정도로	[]
5	7	10	AH0001	31.552	31.592	그냥	[4]
5	7	11	AH0001	32.874	33.215	자동차	[]
5	7	12	AH0001	33.255	33.375	여행	[]
5	7	13	AH0001	33.456	33.816	정도	[]
5	7	14	AH0001	33.876	34.057	이렇게	[5]
5	7	15	AH0001	34.197	34.257	갔다	[]
5	7	16	AH0001	34.337	34.417	오면	[]
5	7	17	AH0001	34.478	34.999	어떨까	[]
5	7	18	AH0001	35.399	35.6	싶고.	[]
5	7	19	AH0001	35.64	35.78	이렇게	[]
5	7	20	AH0001	35.86	36.101	사람	[]
5	7	21	AH0001	36.221	36.401	많은	[]
5	7	22	AH0001	36.542	36.762	바다	[]
5	7	23	AH0001	36.822	37.002	이런	[]
5	7	24	AH0001	37.063	37.163	데는	[]
5	7	25	AH0001	37.263	37.383	좀	[]
5	7	26	AH0001	37.864	38.105	피하게	[]
5	7	27	AH0001	38.165	38.225	될	[]
5	7	28	AH0001	38.285	38.345	거	[]
5	7	29	AH0001	38.365	38.826	같더라고요.	[]
