uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	0.941	슬기로운	[]
1	1	2	AH0001	1.081	1.703	젠더생활	[]
1	1	3	AH0001	2.184	2.565	김재희	[]
1	1	4	AH0001	2.645	3.006	변호사님	[]
1	1	5	AH0001	3.066	3.667	나오셨습니다.	[]
1	2	1	AH0001	3.667	4.113	오늘	[]
1	2	2	AH0001	4.275	4.518	날씨가	[]
1	2	3	AH0001	4.579	4.863	좀	[]
1	2	4	AH0001	4.883	5.43	쌀쌀했죠?	[]
2	3	1	AH0002	5.428	5.589	어	[]
2	3	2	AH0002	5.749	6.03	그러네요.	[]
2	3	3	AH0002	6.07	6.231	이렇게	[]
2	3	4	AH0002	6.371	6.452	오	[]
2	3	5	AH0002	6.512	6.793	월말	[]
2	3	6	AH0002	6.813	7.255	날씨라고	[]
2	3	7	AH0002	7.335	7.696	믿기지가	[]
2	3	8	AH0002	7.716	8.178	않네요.	[]
3	4	1	AH0001	8.253	8.414	좀	[]
3	4	2	AH0001	8.594	8.795	코를	[]
3	4	3	AH0001	8.875	9.457	훌쩍거리면서	[1]
3	4	4	AH0001	9.598	10.2	좀	[]
3	4	5	AH0001	10.842	11.364	청취자분들께	[]
3	4	6	AH0001	11.444	11.705	불편을	[]
3	4	7	AH0001	11.785	11.946	드리지	[]
3	4	8	AH0001	11.986	12.147	않았나	[]
3	4	9	AH0001	12.207	13.11	걱정됩니다만.	[]
3	5	1	AH0001	13.411	13.652	자	[]
3	5	2	AH0001	13.813	14.355	오늘의	[]
3	5	3	AH0001	14.696	14.937	첫	[]
3	5	4	AH0001	15.338	15.78	주제로	[]
3	5	5	AH0001	15.981	16.222	들어가기	[]
3	5	6	AH0001	16.342	16.704	전에	[]
3	5	7	AH0001	17.045	17.507	청취자	[]
3	5	8	AH0001	17.647	17.908	퀴즈를	[]
3	5	9	AH0001	17.949	18.149	먼저	[]
3	5	10	AH0001	18.23	18.41	소개해	[]
3	5	11	AH0001	18.511	19.354	드리겠습니다.	[]
3	6	1	AH0001	19.354	19.775	김재희	[]
3	6	2	AH0001	19.835	20.337	변호사님의	[]
3	6	3	AH0001	20.397	20.818	이야기를	[]
3	6	4	AH0001	20.918	21.239	들으시고	[]
3	6	5	AH0001	21.299	21.44	난	[]
3	6	6	AH0001	22.001	22.282	후에	[]
3	6	7	AH0001	22.723	23.125	관련된	[]
3	6	8	AH0001	23.205	23.425	법률	[]
3	6	9	AH0001	23.506	23.967	상식이	[]
3	6	10	AH0001	24.147	24.408	퀴즈로	[]
3	6	11	AH0001	24.448	24.689	나갈	[]
3	6	12	AH0001	24.709	25.09	겁니다.	[]
3	7	1	AH0001	25.09	25.771	정답을	[]
3	7	2	AH0001	25.832	26.112	아시는	[]
3	7	3	AH0001	26.192	26.353	분은	[]
3	7	4	AH0001	26.353	26.894	샾	[]
3	7	5	AH0001	26.894	27.014	일	[]
