uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.082	확인하시고	[]
1	1	2	AH0001	1.302	1.523	주소와	[]
1	1	3	AH0001	1.543	1.964	연락처	[]
1	1	4	AH0001	2.225	2.586	답글로	[]
1	1	5	AH0001	2.706	2.766	꼭	[]
1	1	6	AH0001	3.007	3.649	남겨주세요.	[]
1	2	1	AH0001	3.649	5.264	안녕하세요.	[]
2	3	1	AH0002	5.263	5.364	네	[]
2	3	2	AH0002	5.525	6.009	오글거려도	[]
2	3	3	AH0002	6.089	6.371	좋은	[]
2	3	4	AH0002	6.633	6.794	시인	[]
2	3	5	AH0002	6.875	7.258	@이름216입니다	[]
2	3	6	AH0002	7.298	8.104	반갑습니다.	[]
3	4	1	AH0001	8.199	8.259	네	[]
3	4	2	AH0001	8.52	8.68	아	[]
3	4	3	AH0001	8.821	9.061	근데	[]
3	4	4	AH0001	9.943	10.104	얘기	[]
3	4	5	AH0001	10.184	10.284	참	[]
3	4	6	AH0001	10.986	11.246	나누면	[]
3	4	7	AH0001	11.286	11.667	나눌수록	[]
3	4	8	AH0001	11.788	12.71	오글방이라는	[]
3	4	9	AH0001	12.79	12.971	제목이	[]
3	4	10	AH0001	13.011	13.091	참	[]
3	4	11	AH0001	13.171	13.893	좋습니다.	[1]
3	4	12	AH0001	13.993	14.374	왜냐면	[]
3	4	13	AH0001	14.494	14.695	우리가	[]
3	4	14	AH0001	14.735	14.995	보통	[]
3	4	15	AH0001	15.076	15.236	그런	[]
3	4	16	AH0001	15.276	15.457	얘기들	[]
3	4	17	AH0001	15.497	15.697	많이	[]
3	4	18	AH0001	15.717	16.038	해요.	[]
3	5	1	AH0001	16.578	16.598	아	[]
3	5	2	AH0001	16.718	16.798	좀	[]
3	5	3	AH0001	16.878	17.418	감성적인	[]
3	5	4	AH0001	17.518	17.899	표현들을	[]
3	5	5	AH0001	17.999	18.099	아	[]
3	5	6	AH0001	18.239	19.699	오글거려라고	[]
3	5	7	AH0001	19.76	20.28	하지만	[2]
3	5	8	AH0001	21.06	21.42	어떻게	[]
3	5	9	AH0001	21.48	21.72	보면	[]
3	5	10	AH0001	22.161	22.241	사실	[]
3	5	11	AH0001	22.381	22.901	감성에	[]
3	5	12	AH0001	23.001	23.461	빠진다는	[]
3	5	13	AH0001	23.541	23.901	게	[]
3	5	14	AH0001	23.921	24.542	자신만의	[]
3	5	15	AH0001	24.682	24.762	또	[]
3	5	16	AH0001	24.882	24.922	그	[]
3	5	17	AH0001	25.022	25.262	결을	[]
3	5	18	AH0001	25.322	25.662	따라가는	[]
3	5	19	AH0001	25.742	26.643	건데	[]
3	5	20	AH0001	26.983	27.863	오글거린다고	[]
3	5	21	AH0001	27.923	28.083	하는	[]
3	5	22	AH0001	28.143	28.424	것도	[]
3	5	23	AH0001	28.504	28.664	좀	[]
3	5	24	AH0001	28.764	29.204	그래요.	[]
4	6	1	AH0002	29.204	29.284	근데	[]
4	6	2	AH0002	29.344	29.925	오글거린다는	[]
4	6	3	AH0002	29.985	30.065	말	[]
4	6	4	AH0002	30.125	30.746	자체에	[]
4	6	5	AH0002	31.267	31.827	좋으면서	[]
4	6	6	AH0002	31.907	32.088	싫은	[]
4	6	7	AH0002	32.128	32.408	감정이	[]
4	6	8	AH0002	32.468	32.548	다	[]
4	6	9	AH0002	32.628	32.989	들어있는	[]
4	6	10	AH0002	33.069	33.249	것	[3]
4	6	11	AH0002	33.269	33.589	같아요.	[]
4	6	12	AH0002	33.77	34.37	좋은데	[]
4	6	13	AH0002	34.791	35.071	뭔가	[]
4	6	14	AH0002	35.171	35.572	밖에	[]
4	6	15	AH0002	35.732	36.673	발설하거나	[4]
4	6	16	AH0002	36.893	37.714	알려주기에는	[]
4	6	17	AH0002	37.795	38.075	뭔가	[]
4	6	18	AH0002	38.195	38.295	좀	[]
4	6	19	AH0002	38.415	38.856	부끄러운	[]
4	6	20	AH0002	38.876	39.156	이런	[]
4	6	21	AH0002	39.517	39.777	부분이	[]
4	6	22	AH0002	39.797	40.438	있어가지고.	[]
5	7	1	AH0001	40.294	40.314	아.	[]
5	7	2	AH0001	40.396	40.416	그.	[]
5	8	1	AH0001	40.638	41.366	부끄러움이	[]
5	8	2	AH0001	41.65	41.67	네.	[]
6	9	1	AH0002	41.965	42.145	예	[]
6	9	2	AH0002	42.286	42.626	그렇지만	[]
6	9	3	AH0002	42.746	42.887	그게	[]
6	9	4	AH0002	42.927	43.127	사실	[]
6	9	5	AH0002	43.307	43.888	진실이기도	[]
6	9	6	AH0002	43.929	44.429	하니까요.	[5]
6	9	7	AH0002	44.449	45.311	부끄러움에서	[]
6	9	8	AH0002	45.331	45.451	어떤	[]
6	9	9	AH0002	45.511	45.832	기쁨을	[]
6	9	10	AH0002	45.872	46.092	찾는	[]
6	9	11	AH0002	46.132	46.834	것이요.	[]
6	9	12	AH0002	46.994	47.014	예.	[]
7	10	1	AH0001	47.029	47.149	근데	[]
7	10	2	AH0001	47.189	47.309	그런	[]
7	10	3	AH0001	47.369	47.47	점은	[]
7	10	4	AH0001	47.51	47.79	있습니다	[]
7	10	5	AH0001	47.81	47.95	우리가	[]
7	10	6	AH0001	48.05	48.451	감정을	[]
7	10	7	AH0001	48.511	48.872	느끼고	[]
7	10	8	AH0001	49.052	49.312	어떤	[]
7	10	9	AH0001	49.412	50.234	기분들에	[]
7	10	10	AH0001	50.314	50.714	휩싸이는	[]
7	10	11	AH0001	50.754	51.095	것들을	[]
7	10	12	AH0001	51.796	51.876	좀	[]
7	10	13	AH0001	52.096	52.437	부끄러워	[]
7	10	14	AH0001	52.497	52.557	할	[]
7	10	15	AH0001	52.677	52.857	필요는	[]
7	10	16	AH0001	52.898	53.078	없는	[]
7	10	17	AH0001	53.118	53.178	것	[]
7	10	18	AH0001	53.218	53.599	같아요.	[6]
7	10	19	AH0001	53.679	54.099	조금은	[]
7	10	20	AH0001	54.219	54.38	그런	[]
7	10	21	AH0001	54.44	54.7	것들을	[]
7	10	22	AH0001	54.72	54.941	우리가	[]
7	10	23	AH0001	55.221	55.321	좀	[]
7	10	24	AH0001	55.541	56.082	검열하는게	[]
7	10	25	AH0001	56.102	56.282	아닐까	[]
7	10	26	AH0001	56.303	56.423	하는	[]
7	10	27	AH0001	56.503	56.883	생각도	[]
7	10	28	AH0001	57.064	57.584	생각을	[]
7	10	29	AH0001	57.604	58.005	해봅니다.	[]
8	11	1	AH0002	58.005	58.085	예	[]
8	11	2	AH0002	58.126	58.226	그래서	[]
8	11	3	AH0002	58.286	58.447	저희	[]
8	11	4	AH0002	58.527	58.989	오글방	[]
8	11	5	AH0002	59.07	59.431	통해서	[]
8	11	6	AH0002	59.451	59.472	그	[]
8	11	7	AH0002	59.532	60.135	오글거림을	[]
8	11	8	AH0002	60.235	60.516	조금	[]
8	11	9	AH0002	60.617	61.059	덜어주실	[]
8	11	10	AH0002	61.159	61.219	수	[]
8	11	11	AH0002	61.26	61.42	있으면	[]
8	11	12	AH0002	61.501	62.485	좋겠습니다.	[]
9	12	1	AH0001	62.324	63.446	그럼요	[]
9	12	2	AH0001	63.466	63.726	정말	[]
9	12	3	AH0001	63.906	64.227	그랬으면	[]
9	12	4	AH0001	64.247	65.008	좋겠습니다.	[7]
9	12	5	AH0001	65.248	65.349	자	[]
9	12	6	AH0001	65.369	65.509	오늘	[]
9	12	7	AH0001	65.649	66.01	글쓰기	[]
9	12	8	AH0001	66.07	66.27	주제	[]
9	12	9	AH0001	66.51	66.811	어떤	[]
9	12	10	AH0001	66.891	67.151	주제를	[]
9	12	11	AH0001	67.211	67.392	갖고	[]
9	12	12	AH0001	67.432	68.333	오셨습	[]
9	12	13	AH0001	68.574	68.774	갖고	[]
9	12	14	AH0001	68.834	69.395	오셨습니까?	[]
10	13	1	AH0002	69.695	69.735	예	[]
10	13	2	AH0002	69.756	69.998	지금	[]
10	13	3	AH0002	70.16	70.503	가을이	[]
10	13	4	AH0002	70.584	70.907	지나고	[]
10	13	5	AH0002	70.948	71.049	오늘	[]
10	13	6	AH0002	71.129	71.897	입동이잖아요.	[]
10	14	1	AH0002	71.897	72.2	그래서	[]
10	14	2	AH0002	72.26	72.361	떠	[]
10	14	3	AH0002	72.462	72.886	떠나가는	[]
10	14	4	AH0002	72.966	73.249	가을을	[]
10	14	5	AH0002	73.37	73.975	추억하면서	[8]
10	15	1	AH0002	74.63	74.991	가을에	[]
10	15	2	AH0002	75.072	75.252	가장	[]
10	15	3	AH0002	75.313	75.453	많이	[]
10	15	4	AH0002	75.533	75.674	쓰는	[]
10	15	5	AH0002	75.774	76.236	글이죠.	[]
10	16	1	AH0002	76.236	76.881	기행문을	[]
10	16	2	AH0002	77.002	77.083	써	[]
10	16	3	AH0002	77.184	77.466	볼까	[]
10	16	4	AH0002	77.526	78.131	합니다.	[]
11	17	1	AH0001	78.229	78.47	아	[]
11	17	2	AH0001	78.53	78.73	이제	[]
11	17	3	AH0001	78.75	78.991	가을에	[]
11	17	4	AH0001	79.011	79.231	여행을	[]
11	17	5	AH0001	79.311	79.472	많이	[]
11	17	6	AH0001	79.512	79.672	갔다	[]
11	17	7	AH0001	79.692	80.414	오셨으니까	[]
12	18	1	AH0002	80.414	80.779	갔다	[]
12	18	2	AH0002	80.82	81.083	오셨을	[]
12	18	3	AH0002	81.103	81.185	거라고	[]
12	18	4	AH0002	81.205	81.57	생각을	[]
12	18	5	AH0002	81.651	81.813	하고	[]
12	19	1	AH0002	82.159	82.68	아니면	[9]
12	19	2	AH0002	82.781	82.881	뭐	[]
12	19	3	AH0002	82.961	83.322	예전에	[]
12	19	4	AH0002	83.362	83.984	다녀왔던	[]
12	19	5	AH0002	84.225	84.706	기억을	[]
12	19	6	AH0002	84.826	85.528	더듬어서	[10]
12	19	7	AH0002	85.548	86.05	써주셔도	[]
12	19	8	AH0002	86.19	86.27	참	[]
12	19	9	AH0002	86.371	86.511	좋을	[]
12	19	10	AH0002	86.611	86.651	것	[]
12	19	11	AH0002	86.691	87.253	같애요.	[]
13	20	1	AH0001	87.315	87.596	아	[]
13	20	2	AH0001	87.616	88.079	알겠습니다	[]
13	20	3	AH0001	88.46	88.481	자	[]
13	20	4	AH0001	88.561	88.661	그럼	[]
13	20	5	AH0001	88.742	89.003	시제를	[]
13	20	6	AH0001	89.063	89.244	먼저	[]
13	20	7	AH0001	89.304	89.666	공개를	[]
13	20	8	AH0001	89.767	90.169	하고	[]
13	20	9	AH0001	90.43	90.611	얘기를	[]
13	20	10	AH0001	90.651	90.932	나눠보면	[]
13	20	11	AH0001	91.013	91.133	좋을	[]
13	20	12	AH0001	91.194	91.234	거	[]
13	20	13	AH0001	91.274	91.716	같은데요.	[]
13	21	1	AH0001	91.716	92.058	기행문도	[]
13	21	2	AH0001	92.139	92.239	좀	[]
13	21	3	AH0001	92.3	93.004	어렵습니다.	[]
14	22	1	AH0002	93.152	93.332	네	[]
14	22	2	AH0002	93.432	93.933	기행문도	[]
14	22	3	AH0002	94.033	94.253	뭐	[]
14	22	4	AH0002	94.393	94.693	어디를	[]
14	22	5	AH0002	94.753	95.454	여행했는지.	[11]
14	22	6	AH0002	95.814	96.094	거기서	[]
14	22	7	AH0002	96.174	96.295	뭘	[]
14	22	8	AH0002	96.355	96.935	봤는지.	[12]
14	22	9	AH0002	97.155	97.375	뭘	[]
14	22	10	AH0002	97.395	97.816	느꼈는지.	[]
14	22	11	AH0002	97.856	97.976	이런	[]
14	22	12	AH0002	98.016	98.256	것들을	[]
14	22	13	AH0002	98.356	98.496	써야	[]
14	22	14	AH0002	98.536	98.696	되기	[]
14	22	15	AH0002	98.777	99.017	때문에	[]
14	22	16	AH0002	99.157	99.477	쉬운	[]
14	22	17	AH0002	99.577	99.837	어떤	[]
14	22	18	AH0002	99.937	100.118	글은	[]
14	22	19	AH0002	100.178	100.638	아니죠.	[]
15	23	1	AH0001	100.82	100.921	네	[]
15	23	2	AH0001	101.122	101.585	다보면	[]
15	23	3	AH0001	101.706	101.907	마치	[]
15	23	4	AH0001	102.048	102.371	초등학교	[]
15	23	5	AH0001	102.431	102.532	때의	[]
15	23	6	AH0001	102.612	103.035	일기장에	[]
15	23	7	AH0001	103.095	103.478	일기처럼.	[13]
15	24	1	AH0001	104.203	104.525	나는	[]
15	24	2	AH0001	104.645	104.927	어디에	[]
15	24	3	AH0001	104.987	105.49	갔다	[]
15	24	4	AH0001	105.731	106.073	누구랑	[]
15	24	5	AH0001	106.093	106.595	갔다	[]
15	24	6	AH0001	106.776	106.997	참	[]
15	24	7	AH0001	107.158	107.721	좋았다.	[]
16	25	1	AH0002	107.721	107.922	맞아요	[]
16	25	2	AH0002	107.982	108.062	참	[]
16	25	3	AH0002	108.183	108.504	즐거웠고	[]
16	25	4	AH0002	108.664	109.266	재밌었다	[]
16	25	5	AH0002	109.326	109.487	이런	[]
16	25	6	AH0002	109.567	109.788	일로	[]
16	25	7	AH0002	109.868	110.189	끝나긴	[]
16	25	8	AH0002	110.209	110.51	하는데	[14]
16	26	1	AH0002	111.08	111.401	어쨌든	[]
16	26	2	AH0002	111.422	111.442	뭐	[]
16	26	3	AH0002	112.004	112.205	우리	[]
16	26	4	AH0002	112.265	112.808	오글방	[]
16	26	5	AH0002	112.928	113.631	시청해주신	[]
16	26	6	AH0002	113.732	114.013	청취해	[]
16	26	7	AH0002	114.053	114.234	주시는	[15]
16	26	8	AH0002	114.314	114.636	분들의	[]
16	26	9	AH0002	114.756	114.977	수준을	[]
16	26	10	AH0002	115.058	115.299	저희가	[]
16	26	11	AH0002	115.439	116.042	알잖아요.	[]
16	27	1	AH0002	116.043	116.284	얼마나	[16]
16	27	2	AH0002	116.305	116.325	또	[]
16	27	3	AH0002	116.445	116.747	멋진	[]
16	27	4	AH0002	116.868	117.129	글들이	[]
16	27	5	AH0002	117.17	117.693	올라올지	[]
16	27	6	AH0002	117.773	118.095	기대하고	[]
16	27	7	AH0002	118.115	118.618	있습니다.	[]
17	28	1	AH0001	118.627	119.108	알겠습니다	[]
17	28	2	AH0001	119.148	119.229	그러면	[]
17	28	3	AH0001	119.329	119.71	시제를	[]
17	28	4	AH0001	120.091	120.131	이제	[]
17	28	5	AH0001	120.171	120.793	알려주시죠.	[]
18	29	1	AH0002	120.938	121.018	네	[]
18	29	2	AH0002	121.138	121.218	첫	[]
18	29	3	AH0002	121.299	121.859	번째는	[]
18	29	4	AH0002	122.34	122.641	나는	[]
18	29	5	AH0002	123.802	124.383	누구누구와	[]
18	29	6	AH0002	124.584	124.844	혹은	[]
18	29	7	AH0002	125.004	125.565	어디에서.	[17]
18	29	8	AH0002	126.146	126.527	어디를	[]
18	29	9	AH0002	126.727	127.468	여행했다.	[]
19	30	1	AH0001	127.49	127.51	네.	[]
20	31	1	AH0002	127.834	127.894	두	[]
20	31	2	AH0002	127.974	128.336	번째.	[]
20	31	3	AH0002	128.937	129.238	가장	[]
20	31	4	AH0002	129.359	129.66	기억에	[]
20	31	5	AH0002	129.7	129.94	남는	[]
20	31	6	AH0002	129.98	130.301	것은	[]
20	31	7	AH0002	130.602	131.485	무엇이다.	[18]
20	32	1	AH0002	131.824	131.964	세	[]
20	32	2	AH0002	132.005	132.366	번째	[]
20	32	3	AH0002	132.947	133.188	나는	[]
20	32	4	AH0002	133.329	133.449	이	[]
20	32	5	AH0002	133.509	133.87	여행을	[]
20	32	6	AH0002	133.991	134.292	통해	[]
20	32	7	AH0002	134.833	135.355	무엇을	[]
20	32	8	AH0002	135.576	136.378	느꼈다.	[]
21	33	1	AH0001	136.453	136.473	어	[]
21	33	2	AH0001	137.438	137.498	아	[]
21	33	3	AH0001	137.579	138.041	심플하지만	[]
21	33	4	AH0001	138.242	138.483	네	[]
21	33	5	AH0001	138.664	138.905	좋은	[]
21	33	6	AH0001	139.086	139.508	시제인	[]
21	33	7	AH0001	139.569	139.629	것	[]
21	33	8	AH0001	139.669	140.272	같습니다.	[]
21	34	1	AH0001	140.272	140.613	자	[]
21	34	2	AH0001	140.673	140.914	여러분의	[]
21	34	3	AH0001	140.974	141.215	다양한	[]
21	34	4	AH0001	141.255	141.676	여행담	[]
21	34	5	AH0001	141.696	142.378	보내주세요.	[]
21	35	1	AH0001	142.378	142.94	@상호명91	[]
21	35	2	AH0001	143.0	143.14	어플	[]
21	35	3	AH0001	143.22	143.521	반디	[]
21	35	4	AH0001	143.682	144.163	@상호명92	[]
21	35	5	AH0001	144.384	144.564	그리고	[]
21	35	6	AH0001	144.624	144.945	유료문자	[]
