uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.875	1.195	어떻게	[]
1	1	2	AH0001	1.215	1.256	하면	[]
1	1	3	AH0001	1.336	1.596	좋을지	[]
1	1	4	AH0001	1.656	1.937	조언을	[]
1	1	5	AH0001	1.997	2.077	좀	[]
1	1	6	AH0001	2.137	2.818	부탁드립니다.	[]
1	1	7	AH0001	3.198	3.599	라면서	[]
1	1	8	AH0001	4.46	5.241	사촌이	[]
1	1	9	AH0001	5.702	5.982	어	[]
1	1	10	AH0001	6.102	6.563	부모님	[]
1	1	11	AH0001	7.064	7.124	글쎄요.	[]
1	1	12	AH0001	7.184	7.484	이런	[]
1	1	13	AH0001	7.645	7.765	게	[]
1	1	14	AH0001	8.185	8.726	작은아버지	[]
1	1	15	AH0001	8.786	9.487	작은어머님한테	[]
1	1	16	AH0001	9.668	9.828	하는	[]
1	1	17	AH0001	9.888	10.649	말이잖아요.	[]
1	2	1	AH0001	10.649	10.749	그러니까	[]
1	2	2	AH0001	10.769	10.99	쉽지는	[]
1	2	3	AH0001	11.071	11.291	않을	[]
1	2	4	AH0001	11.312	11.332	것	[]
1	2	5	AH0001	11.352	11.833	같은데	[]
1	2	6	AH0001	11.974	12.155	그런	[]
1	2	7	AH0001	12.195	12.355	@전화번호2촌	[]
1	2	8	AH0001	12.456	12.536	@전화번호2형@전화번호2	[]
1	2	9	AH0001	12.616	12.717	보고	[]
1	2	10	AH0001	12.757	12.857	있는	[]
1	2	11	AH0001	12.938	13.078	게	[]
1	2	12	AH0001	13.46	14.142	힘들다라고	[]
1	2	13	AH0001	14.202	14.524	하시는	[]
1	2	14	AH0001	14.704	14.905	사	[]
1	2	15	AH0001	15.146	15.829	@전화번호2번	[]
1	2	16	AH0001	15.849	15.969	님의	[]
1	2	17	AH0001	16.049	16.732	말씀이었습니다.	[]
2	3	1	AH0002	16.732	18.234	음	[]
2	3	2	AH0002	18.254	18.394	우리가	[]
2	3	3	AH0002	18.514	18.534	왜	[]
2	3	4	AH0002	18.735	19.556	친척들	[]
2	3	5	AH0002	19.736	20.377	사이에도	[]
2	3	6	AH0002	20.918	21.478	실질적인	[]
2	3	7	AH0002	21.699	21.999	빚이	[]
2	3	8	AH0002	22.039	22.5	있거나	[1]
2	3	9	AH0002	22.9	23.06	또	[]
2	3	10	AH0002	23.241	23.561	어떤	[]
2	3	11	AH0002	23.781	24.042	빚에	[]
2	3	12	AH0002	24.142	24.422	대한	[]
2	3	13	AH0002	24.883	25.043	어	[]
2	3	14	AH0002	25.183	25.464	마음의	[]
2	3	15	AH0002	25.564	25.844	채무로	[]
2	3	16	AH0002	25.884	26.405	남아있는	[]
2	3	17	AH0002	26.505	26.685	이런	[]
2	3	18	AH0002	26.745	26.805	게	[]
2	3	19	AH0002	26.825	27.306	있죠.	[]
2	4	1	AH0002	27.386	27.446	뭐	[]
2	4	2	AH0002	27.566	27.746	어느	[]
2	4	3	AH0002	27.806	28.127	시점에	[]
2	4	4	AH0002	28.187	28.327	많이	[]
2	4	5	AH0002	28.387	29.127	도와줬다든지	[]
2	4	6	AH0002	29.268	29.468	그런데	[]
2	4	7	AH0002	29.548	29.948	보니까	[]
2	4	8	AH0002	30.589	30.989	아버지	[]
2	4	9	AH0002	31.009	31.269	하구	[]
2	4	10	AH0002	31.429	32.03	큰아버지	[]
2	4	11	AH0002	32.15	32.47	사이에는	[]
2	4	12	AH0002	32.61	32.951	약간	[]
2	4	13	AH0002	33.071	33.351	쪼끔	[]
2	4	14	AH0002	33.471	33.571	이	[]
2	4	15	AH0002	33.651	33.771	중	[]
2	4	16	AH0002	33.851	33.932	삼	[]
2	4	17	AH0002	34.032	34.232	중의	[]
2	4	18	AH0002	34.292	34.652	관계에	[]
2	4	19	AH0002	34.712	34.872	있는	[]
2	4	20	AH0002	34.912	34.992	것	[]
2	4	21	AH0002	35.032	35.373	같은데	[]
2	5	1	AH0002	35.963	36.324	보니까	[]
2	5	2	AH0002	36.745	37.506	큰아버지하고	[]
2	5	3	AH0002	37.767	37.907	지금	[]
2	5	4	AH0002	38.027	38.348	사연을	[]
2	5	5	AH0002	38.468	38.789	주신	[]
2	5	6	AH0002	39.13	39.31	우리	[]
2	5	7	AH0002	39.43	40.252	@전화번호2번	[]
2	5	8	AH0002	40.432	40.533	님	[]
2	5	9	AH0002	40.653	41.134	아버님하고	[]
2	5	10	AH0002	41.234	41.595	보니까	[]
2	5	11	AH0002	41.895	42.236	열일곱	[]
2	5	12	AH0002	42.356	42.457	살	[]
2	5	13	AH0002	42.537	42.757	차이가	[]
2	5	14	AH0002	42.797	42.918	나는	[2]
2	5	15	AH0002	42.978	43.479	형제예요.	[]
2	5	16	AH0002	43.659	43.799	거의	[]
2	5	17	AH0002	43.9	44.581	아들이죠.	[]
2	6	1	AH0002	44.581	44.801	응.	[]
2	6	2	AH0002	44.981	45.322	그런데	[]
2	6	3	AH0002	45.682	45.943	보니	[]
2	6	4	AH0002	46.403	46.663	꼼짝을	[]
2	6	5	AH0002	46.724	47.304	못하셨대요.	[]
2	6	6	AH0002	47.444	47.625	나이	[]
2	6	7	AH0002	47.705	47.905	차이도	[]
2	6	8	AH0002	47.965	48.526	있겠지만	[]
2	6	9	AH0002	48.686	48.926	아마	[]
2	6	10	AH0002	49.246	49.667	아버지	[]
2	6	11	AH0002	49.727	50.067	역할을	[]
2	6	12	AH0002	50.107	50.288	하지	[]
2	6	13	AH0002	50.328	51.089	않았겠는가?	[]
2	6	14	AH0002	51.109	51.589	그러면서	[]
2	6	15	AH0002	51.689	51.93	쪼끔	[]
2	6	16	AH0002	52.33	52.791	엄하게	[3]
2	6	17	AH0002	53.071	53.551	이렇게	[]
2	6	18	AH0002	53.952	54.713	동생들을	[]
2	6	19	AH0002	54.993	56.014	살펴봤던	[]
2	6	20	AH0002	56.114	56.355	분들이	[]
2	6	21	AH0002	56.415	56.755	아닌가.	[]
2	6	22	AH0002	56.996	57.136	분이	[]
2	6	23	AH0002	57.156	57.416	아닌가?	[]
2	6	24	AH0002	57.436	57.536	이런	[]
2	6	25	AH0002	57.596	57.816	생각이	[]
2	6	26	AH0002	57.877	58.137	드는데	[]
2	7	1	AH0002	58.868	59.29	대신에	[]
2	7	2	AH0002	59.672	60.416	도움도	[]
2	7	3	AH0002	60.436	60.456	또	[]
2	7	4	AH0002	61.159	61.682	위기의	[]
2	7	5	AH0002	61.842	62.244	순간에	[]
2	7	6	AH0002	62.305	62.345	탁	[]
2	7	7	AH0002	62.425	62.727	주셨던	[]
2	7	8	AH0002	62.767	62.807	것	[]
2	7	9	AH0002	62.867	63.189	같아요.	[]
2	8	1	AH0002	63.19	63.45	삼십	[]
2	8	2	AH0002	63.551	63.611	대	[]
2	8	3	AH0002	63.691	63.891	말에	[]
2	8	4	AH0002	63.951	64.151	사기를	[]
2	8	5	AH0002	64.192	64.652	당했는데	[]
2	8	6	AH0002	64.993	65.053	그	[]
2	8	7	AH0002	65.093	65.333	삼십	[]
2	8	8	AH0002	65.453	65.674	대에	[]
2	8	9	AH0002	66.195	66.435	그렇다	[]
2	8	10	AH0002	66.495	66.816	보니까	[]
2	8	11	AH0002	66.876	67.116	마음의	[]
2	8	12	AH0002	67.176	67.316	빚이	[]
2	8	13	AH0002	67.356	67.957	있으셨는데	[]
2	8	14	AH0002	68.358	68.999	알고봤더니	[]
2	8	15	AH0002	69.56	69.82	빚은	[]
2	8	16	AH0002	69.94	70.541	큰아버지에게	[]
2	8	17	AH0002	70.982	71.483	졌는데	[]
2	8	18	AH0002	71.563	71.823	마음의	[]
2	8	19	AH0002	71.903	72.064	빚은	[]
2	9	1	AH0002	72.344	73.005	근데	[]
2	9	2	AH0002	73.105	73.486	받기는	[]
2	9	3	AH0002	73.566	73.606	그	[]
2	9	4	AH0002	73.706	73.966	아들이	[]
2	9	5	AH0002	74.006	74.207	받는	[]
2	9	6	AH0002	74.247	74.327	것	[4]
2	9	7	AH0002	74.427	74.928	같은	[]
2	9	8	AH0002	75.108	75.448	너무	[]
2	9	9	AH0002	75.629	76.37	당연하고	[]
2	9	10	AH0002	76.83	77.05	어떻게	[]
2	9	11	AH0002	77.111	77.271	보면	[]
2	9	12	AH0002	77.351	77.411	그	[]
2	9	13	AH0002	77.511	77.932	호의를	[]
2	9	14	AH0002	78.012	78.212	마치	[]
2	9	15	AH0002	78.352	78.853	권리처럼	[]
2	9	16	AH0002	78.913	79.474	생각하는	[]
2	9	17	AH0002	79.814	80.095	사촌	[]
2	9	18	AH0002	80.175	80.435	형의	[]
2	9	19	AH0002	80.515	80.675	그런	[]
2	9	20	AH0002	80.776	81.196	태도가	[]
2	9	21	AH0002	81.296	81.416	너무	[]
2	9	22	AH0002	81.477	81.677	화가	[]
2	9	23	AH0002	81.717	81.877	나는	[5]
2	9	24	AH0002	81.937	82.157	거죠.	[]
2	9	25	AH0002	82.238	82.438	자식	[]
2	9	26	AH0002	82.478	82.979	입장에서는	[]
2	10	1	AH0002	83.899	84.22	이해가	[]
2	10	2	AH0002	84.28	84.42	되긴	[]
2	10	3	AH0002	84.48	84.861	되는데	[]
2	10	4	AH0002	85.722	85.883	이게	[]
2	10	5	AH0002	86.504	86.724	사연을	[]
2	10	6	AH0002	86.764	87.045	주신	[]
2	10	7	AH0002	87.065	87.085	분	[]
2	10	8	AH0002	87.145	87.686	생각에서는	[]
2	10	9	AH0002	88.027	88.107	야	[]
2	10	10	AH0002	88.247	88.428	니네	[]
2	10	11	AH0002	88.508	89.029	아부지한테	[]
2	10	12	AH0002	89.069	89.49	빚졌지.	[]
2	10	13	AH0002	89.55	89.81	너한테	[]
2	10	14	AH0002	89.85	90.271	빚졌냐?	[]
2	10	15	AH0002	90.391	90.772	이런	[6]
2	10	16	AH0002	90.792	90.852	생각이	[]
2	10	17	AH0002	90.932	91.834	들잖아요.	[]
2	11	1	AH0002	91.875	91.935	그	[]
2	11	2	AH0002	92.015	92.395	보니까	[]
2	11	3	AH0002	92.755	93.116	아버지가	[]
2	11	4	AH0002	93.216	93.376	또	[]
2	11	5	AH0002	93.556	93.736	그	[]
2	11	6	AH0002	93.976	94.556	빚은	[]
2	11	7	AH0002	94.616	94.716	다	[]
2	11	8	AH0002	94.756	95.037	갚지	[]
2	11	9	AH0002	95.077	95.657	않았나?	[]
2	11	10	AH0002	96.137	96.237	저는	[]
2	11	11	AH0002	96.277	96.417	이런	[]
2	11	12	AH0002	96.457	96.717	생각이	[]
2	11	13	AH0002	96.777	96.858	좀	[]
2	11	14	AH0002	96.958	97.378	드는데	[]
2	11	15	AH0002	98.098	98.358	어	[]
2	11	16	AH0002	98.658	98.859	우리가	[]
2	11	17	AH0002	98.919	99.119	이런	[]
2	11	18	AH0002	99.199	99.619	상황이	[]
2	11	19	AH0002	100.179	100.699	의외로	[]
2	11	20	AH0002	100.78	100.9	좀	[]
2	11	21	AH0002	101.12	101.74	많아요.	[]
2	12	1	AH0002	101.856	102.236	옛날에	[]
2	12	2	AH0002	102.316	102.677	특별히	[]
2	12	3	AH0002	102.757	103.357	형제들이	[]
2	12	4	AH0002	103.537	103.898	많았던	[]
2	12	5	AH0002	103.978	104.358	집들	[]
2	12	6	AH0002	104.438	104.878	사이에는	[]
2	12	7	AH0002	105.279	105.519	우리가	[]
2	12	8	AH0002	105.619	105.759	왜	[]
2	12	9	AH0002	106.099	106.299	마치	[]
2	12	10	AH0002	106.339	106.78	하나의	[]
2	12	11	AH0002	106.8	106.82	그	[]
2	12	12	AH0002	106.92	107.08	거의	[]
2	12	13	AH0002	107.2	108.361	마을이잖아요.	[7]
2	13	1	AH0002	108.371	108.531	열	[]
2	13	2	AH0002	108.611	109.072	형제다	[]
2	13	3	AH0002	109.173	109.533	그러면	[]
2	13	4	AH0002	109.854	109.994	그	[]
2	13	5	AH0002	110.114	110.335	밑에	[]
2	13	6	AH0002	110.415	110.956	식솔까지	[]
2	13	7	AH0002	111.036	111.337	같이	[]
2	13	8	AH0002	111.537	111.738	낳은	[]
2	13	9	AH0002	111.858	112.218	아이도	[]
2	13	10	AH0002	112.339	112.479	있고	[]
2	13	11	AH0002	112.579	113.06	손주까지	[]
2	13	12	AH0002	113.1	113.381	하면	[]
2	13	13	AH0002	113.481	113.781	거의	[]
2	13	14	AH0002	113.902	114.022	한	[]
2	13	15	AH0002	114.583	115.024	민족을	[]
2	13	16	AH0002	115.084	115.425	형성할	[]
2	13	17	AH0002	115.485	115.906	정도로	[]
2	13	18	AH0002	116.326	116.567	그렇다	[]
2	13	19	AH0002	116.667	117.068	보니까	[]
2	13	20	AH0002	117.168	117.509	어려움이	[]
2	13	21	AH0002	117.609	118.07	생겼을	[]
2	13	22	AH0002	118.19	118.29	때	[]
2	13	23	AH0002	118.43	118.731	도움을	[]
2	13	24	AH0002	118.831	119.493	주고받았거나	[]
2	14	1	AH0002	119.938	120.078	근데	[]
2	14	2	AH0002	120.098	120.399	이제	[]
2	14	3	AH0002	120.859	120.979	아	[]
2	14	4	AH0002	121.079	121.5	문제는	[]
2	14	5	AH0002	121.78	121.86	그	[]
2	14	6	AH0002	121.941	122.181	도움을	[]
2	14	7	AH0002	122.281	122.441	주고	[]
2	14	8	AH0002	122.481	122.662	받은	[]
2	14	9	AH0002	122.722	122.782	게	[]
2	14	10	AH0002	122.922	123.022	그	[]
2	14	11	AH0002	123.082	123.423	세대로	[]
2	14	12	AH0002	123.503	123.823	끝나면	[]
2	14	13	AH0002	123.883	124.264	좋지만	[]
2	14	14	AH0002	124.544	124.704	이게	[]
2	14	15	AH0002	124.824	125.245	심정의	[]
2	14	16	AH0002	125.305	126.286	연좌제처럼	[8]
2	14	17	AH0002	126.707	126.947	다음	[]
2	14	18	AH0002	127.027	127.708	세대까지도	[]
2	14	19	AH0002	127.768	127.868	그	[]
2	14	20	AH0002	127.948	128.149	빚을	[]
2	14	21	AH0002	128.209	128.529	갚아야	[]
2	14	22	AH0002	128.609	128.729	되는	[]
2	14	23	AH0002	128.789	128.87	것	[]
2	14	24	AH0002	128.93	129.15	같은	[]
2	14	25	AH0002	129.25	129.43	그런	[]
2	14	26	AH0002	129.651	129.931	심리적	[]
2	14	27	AH0002	130.111	130.652	채무감을	[]
2	14	28	AH0002	130.892	131.092	갖고	[]
2	14	29	AH0002	131.132	131.233	있는	[]
2	14	30	AH0002	131.293	131.653	경우들이	[]
2	14	31	AH0002	132.194	132.474	요샌	[]
2	14	32	AH0002	132.574	132.835	많지는	[]
2	14	33	AH0002	132.855	133.175	않지만	[]
2	14	34	AH0002	133.315	133.596	드물게	[]
2	14	35	AH0002	133.636	134.617	있더라고요.	[9]
2	15	1	AH0002	134.628	134.848	그런데	[]
2	15	2	AH0002	135.128	135.688	생각해보면	[]
2	15	3	AH0002	135.708	136.169	아니	[]
2	15	4	AH0002	136.189	136.349	이건	[]
2	15	5	AH0002	136.429	136.969	윗세대로	[]
2	15	6	AH0002	137.109	137.369	끝난	[]
2	15	7	AH0002	137.449	137.829	거고	[]
2	15	8	AH0002	138.389	138.589	다음	[]
2	15	9	AH0002	138.669	139.03	세대까지	[]
2	15	10	AH0002	139.09	139.39	이어질	[]
2	15	11	AH0002	139.47	139.55	것	[]
2	15	12	AH0002	139.61	140.03	없는데	[]
2	15	13	AH0002	140.17	140.69	더군다나	[]
2	15	14	AH0002	141.21	141.43	어	[]
2	15	15	AH0002	141.651	142.011	자기	[]
2	15	16	AH0002	142.271	142.431	그	[]
2	15	17	AH0002	142.811	143.071	어머니	[]
2	15	18	AH0002	143.151	144.051	입장에서	[]
2	15	19	AH0002	144.171	144.211	또	[]
2	15	20	AH0002	144.291	144.552	아버님	[]
2	15	21	AH0002	144.612	144.972	입장에서	[]
2	15	22	AH0002	145.032	145.392	보자면	[]
2	15	23	AH0002	146.292	146.392	이게	[]
2	15	24	AH0002	146.592	146.892	이상한	[]
2	15	25	AH0002	146.932	147.092	일은	[]
2	15	26	AH0002	147.152	147.553	아니에요.	[]
2	15	27	AH0002	147.653	147.813	그럴	[]
2	15	28	AH0002	147.913	148.053	수는	[]
2	15	29	AH0002	148.093	148.393	있는데	[]
2	16	1	AH0002	148.835	149.095	너무	[]
2	16	2	AH0002	149.236	150.017	당당하게	[]
2	16	3	AH0002	150.478	150.698	너무	[]
2	16	4	AH0002	150.718	150.778	또	[]
2	16	5	AH0002	150.878	151.559	뻔뻔하게	[]
2	16	6	AH0002	151.88	152.16	이야기	[]
2	16	7	AH0002	152.2	152.28	하는	[]
2	16	8	AH0002	152.321	152.401	것	[]
2	16	9	AH0002	152.441	153.062	같으니까	[10]
2	16	10	AH0002	153.382	153.703	자식된	[]
2	16	11	AH0002	153.723	154.063	입장에서	[]
2	16	12	AH0002	154.123	154.224	속이	[]
2	16	13	AH0002	154.304	154.544	상하는	[]
2	16	14	AH0002	154.604	155.145	거거든요.	[]
2	17	1	AH0002	155.912	155.972	근데	[]
2	17	2	AH0002	156.072	156.333	이제	[]
2	17	3	AH0002	156.754	157.436	생각해보면	[]
2	17	4	AH0002	157.977	158.278	우리가	[]
2	17	5	AH0002	159.0	159.341	어	[]
2	17	6	AH0002	159.521	159.742	이런	[]
2	17	7	AH0002	159.822	160.063	경우가	[]
2	17	8	AH0002	160.103	160.303	있을	[]
2	17	9	AH0002	160.383	160.644	때는	[]
2	17	10	AH0002	160.945	161.085	저는	[]
2	17	11	AH0002	161.246	161.326	두	[]
2	17	12	AH0002	161.386	161.727	가지는	[]
2	17	13	AH0002	161.787	162.148	한번	[]
2	17	14	AH0002	162.669	163.09	살펴봐야	[]
2	17	15	AH0002	163.11	163.13	될	[]
2	17	16	AH0002	163.171	163.231	것	[]
2	17	17	AH0002	163.271	163.732	같아요.	[]
2	18	1	AH0002	164.585	164.745	어	[]
2	18	2	AH0002	164.885	164.965	첫	[]
2	18	3	AH0002	165.025	165.686	번째로는	[]
2	18	4	AH0002	166.427	166.947	부모님	[]
2	18	5	AH0002	167.187	167.487	생각은	[]
2	18	6	AH0002	167.568	168.849	어떠신가?	[]
2	18	7	AH0002	168.969	169.449	왜냐면	[]
2	18	8	AH0002	169.469	169.489	어	[]
2	18	9	AH0002	171.211	171.491	우리가	[]
2	18	10	AH0002	171.551	171.691	잘	[]
2	18	11	AH0002	171.811	172.211	모르는	[]
2	18	12	AH0002	172.512	172.852	그	[]
2	18	13	AH0002	173.192	173.813	채무를	[]
2	18	14	AH0002	173.893	174.013	다	[]
2	18	15	AH0002	174.033	174.353	갚았을	[]
2	18	16	AH0002	174.453	174.533	수는	[]
2	18	17	AH0002	174.573	175.074	있어요.	[11]
2	18	18	AH0002	175.294	175.374	다	[]
2	18	19	AH0002	175.414	175.734	갚았을	[]
2	18	20	AH0002	175.814	175.895	수는	[]
2	18	21	AH0002	175.935	176.235	있는데	[]
2	19	1	AH0002	176.69	177.01	실제	[]
2	19	2	AH0002	177.11	177.23	그	[]
2	19	3	AH0002	177.41	177.751	채무를	[]
2	19	4	AH0002	177.771	177.791	어	[]
2	19	5	AH0002	179.152	179.252	뭐	[]
2	19	6	AH0002	179.532	179.732	우리가	[]
2	19	7	AH0002	179.972	180.492	돈의	[]
2	19	8	AH0002	180.613	180.853	부분이다.	[]
2	19	9	AH0002	180.893	181.073	그러면	[]
2	19	10	AH0002	181.153	181.353	돈을	[]
2	19	11	AH0002	181.433	181.893	갚았다	[]
2	19	12	AH0002	181.933	182.354	하더라도	[]
2	19	13	AH0002	182.394	182.474	왜	[]
2	19	14	AH0002	182.574	182.814	나중에	[]
2	19	15	AH0002	182.914	183.134	밥이라도	[]
2	19	16	AH0002	183.154	183.414	한번	[]
2	19	17	AH0002	183.454	184.375	사잖아요.	[12]
2	20	1	AH0002	184.401	184.541	그런	[]
2	20	2	AH0002	184.602	185.043	심정으로	[]
2	20	3	AH0002	185.525	186.387	큰아버지에게는	[]
2	20	4	AH0002	186.528	186.728	돈을	[]
2	20	5	AH0002	186.769	187.23	갚았을지	[]
2	20	6	AH0002	187.29	187.912	모르겠지만	[]
2	20	7	AH0002	188.053	188.594	직접적으로	[]
2	20	8	AH0002	188.655	189.237	큰아버지에게	[]
2	20	9	AH0002	189.337	189.618	뭔가를	[]
2	20	10	AH0002	189.698	190.059	하지는	[]
2	20	11	AH0002	190.28	190.721	않았을	[]
2	21	1	AH0002	190.942	191.183	혹은	[13]
2	21	2	AH0002	191.764	191.984	뭔갈	[]
2	21	3	AH0002	192.085	192.345	더하고	[]
2	21	4	AH0002	192.385	192.786	싶지만	[]
2	21	5	AH0002	192.927	193.087	그럴	[]
2	21	6	AH0002	193.167	193.428	만한	[]
2	21	7	AH0002	193.849	194.15	어	[]
2	21	8	AH0002	194.731	194.751	그	[]
2	21	9	AH0002	194.891	194.971	외	[]
2	21	10	AH0002	195.072	195.332	도움을	[]
2	21	11	AH0002	195.412	195.753	주지만	[]
2	21	12	AH0002	195.914	196.234	됐어	[]
2	21	13	AH0002	196.535	196.635	도움	[]
2	21	14	AH0002	196.696	196.796	안	[]
2	21	15	AH0002	196.856	197.016	받아	[]
2	21	16	AH0002	197.297	197.578	이렇게	[]
2	21	17	AH0002	197.758	197.999	약간	[]
2	21	18	AH0002	198.379	198.72	츤데레라	[]
2	21	19	AH0002	198.78	199.141	그러나요?	[14]
2	22	1	AH0002	199.505	200.348	무뚝뚝하지만	[]
2	22	2	AH0002	200.709	200.969	도움을	[]
2	22	3	AH0002	201.09	201.371	주시는	[]
2	22	4	AH0002	201.451	201.812	분들에게	[]
2	22	5	AH0002	201.872	202.113	어떻게	[]
2	22	6	AH0002	202.153	202.374	은혜를	[]
2	22	7	AH0002	202.434	202.654	갚아야	[]
2	22	8	AH0002	202.735	202.955	될지	[]
2	22	9	AH0002	203.056	203.316	모르는	[]
2	22	10	AH0002	203.397	203.818	경우들이	[]
2	22	11	AH0002	203.958	204.52	생겨나요.	[]
2	23	1	AH0002	205.024	205.665	큰아버지에게	[]
2	23	2	AH0002	205.725	206.165	직접적인	[]
2	23	3	AH0002	206.265	206.586	뭔가를	[]
2	23	4	AH0002	206.626	206.706	할	[]
2	23	5	AH0002	206.846	207.026	수	[]
2	23	6	AH0002	207.467	207.567	어	[]
2	23	7	AH0002	207.667	207.887	원치	[]
2	23	8	AH0002	207.927	208.428	않으셔서	[]
2	23	9	AH0002	208.708	208.908	하지	[]
2	23	10	AH0002	208.989	209.509	못하셨기	[]
2	23	11	AH0002	209.589	209.87	때문에	[]
2	23	12	AH0002	209.91	209.99	그	[]
2	23	13	AH0002	210.07	210.35	자녀	[]
2	23	14	AH0002	210.41	211.051	세대에게라도	[15]
2	23	15	AH0002	211.131	211.491	뭔가	[]
2	23	16	AH0002	211.571	212.012	하고싶은	[]
2	23	17	AH0002	212.352	212.673	부모님	[]
2	23	18	AH0002	212.753	213.093	마음인	[]
2	23	19	AH0002	213.173	213.233	것	[]
2	23	20	AH0002	213.273	213.614	같은데	[]
2	24	1	AH0002	214.358	214.478	이	[]
2	24	2	AH0002	214.578	215.199	부모님은	[]
2	24	3	AH0002	215.54	215.62	이	[]
2	24	4	AH0002	215.72	216.061	상황에	[]
2	24	5	AH0002	216.141	216.501	대해서	[]
2	24	6	AH0002	216.782	217.042	어떻게	[]
2	24	7	AH0002	217.082	217.843	생각하시는지	[16]
2	24	8	AH0002	218.124	218.264	약간	[]
2	24	9	AH0002	218.424	218.865	불편함을	[]
2	24	10	AH0002	218.905	219.105	가지고	[]
2	24	11	AH0002	219.126	219.526	계신지	[]
2	24	12	AH0002	219.566	219.867	아니면	[]
2	24	13	AH0002	220.247	220.628	아니야	[]
2	24	14	AH0002	220.688	220.768	그건	[]
2	24	15	AH0002	220.868	221.069	우리가	[]
2	24	16	AH0002	221.209	221.509	당연히	[]
2	24	17	AH0002	221.569	221.649	해야	[]
2	24	18	AH0002	221.71	221.87	되는	[]
2	24	19	AH0002	221.95	222.11	거야	[]
2	24	20	AH0002	222.451	222.911	이렇게	[]
2	24	21	AH0002	223.012	223.633	느끼시는지	[17]
2	24	22	AH0002	224.113	224.674	당사자인	[]
2	24	23	AH0002	224.774	225.235	부모님께	[]
2	24	24	AH0002	225.275	225.516	한번	[]
2	24	25	AH0002	225.616	225.716	그	[]
2	24	26	AH0002	225.816	226.177	심정을	[]
2	24	27	AH0002	226.237	226.677	여쭤보는	[]
2	24	28	AH0002	226.737	226.798	거	[]
2	24	29	AH0002	226.858	226.998	되게	[]
2	24	30	AH0002	227.098	227.699	중요하고요.	[18]
2	25	1	AH0002	228.115	228.338	자식이	[]
2	25	2	AH0002	228.379	228.44	볼	[]
2	25	3	AH0002	228.501	228.561	땐	[]
2	25	4	AH0002	228.622	229.069	불편하지만	[]
3	26	1	AH0001	229.17	229.732	예	[]
3	26	2	AH0001	230.073	230.134	아	[]
3	26	3	AH0001	230.194	230.415	그러면	[]
3	26	4	AH0001	230.515	230.917	부모님이	[19]
3	27	1	AH0001	231.467	231.548	나	[]
3	27	2	AH0001	231.608	231.85	정말	[]
3	27	3	AH0001	231.89	232.132	해주고	[]
3	27	4	AH0001	232.192	232.515	싶어	[]
3	27	5	AH0001	232.595	232.998	괜찮아	[]
3	27	6	AH0001	233.099	233.24	그러면	[]
3	27	7	AH0001	233.462	233.502	뭐	[]
3	27	8	AH0001	233.603	233.724	그냥	[]
4	28	1	AH0002	234.52	235.061	그거는	[]
4	28	2	AH0002	235.462	235.723	빚진	[]
4	28	3	AH0002	235.924	236.064	자의	[]
4	28	4	AH0002	236.184	236.625	마음값은	[]
4	28	5	AH0002	236.966	237.127	따로	[]
4	28	6	AH0002	237.167	237.688	있어요.	[]
4	29	1	AH0002	237.688	238.229	내가	[]
4	29	2	AH0002	238.309	238.63	지불하고	[]
4	29	3	AH0002	238.69	238.891	싶은	[]
4	29	4	AH0002	238.971	239.192	만큼	[]
4	29	5	AH0002	239.352	239.693	충분히	[]
4	29	6	AH0002	239.773	240.054	지불을	[]
