bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	9.645	10.04	CONTINUER	음.	[1]	[1]	[18]
2	AH0002	14.504	14.784	CONTINUER	네.	[1]	[2]	[4]
3	AH0001	21.833	22.773	CONTINUER	네.	[2]	[3]	[10]
4	AH0001	25.602	26.107	CONTINUER	예.	[2]	[4]	[8]
5	AH0001	28.78	29.385	CONTINUER	예.	[2]	[5]	[7]
6	AH0001	33.191	33.646	CONTINUER	네.	[2]	[6]	[11]
7	AH0001	37.138	37.623	CONTINUER	음.	[2]	[7]	[10]
8	AH0001	39.655	40.05	CONTINUER	음.	[2]	[7]	[15]
9	AH0001	46.227	46.702	CONTINUER	네.	[2]	[8]	[18]
10	AH0002	52.89	53.285	CONTINUER	네.	[3]	[10]	[2]
11	AH0002	58.832	59.092	CONTINUER	네.	[3]	[11]	[3]
12	AH0002	59.973	60.74	AFFIRMATIVE	네. 알겠습니다.	[3]	[11]	[5]
