bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	4.535	4.94	CONTINUER	네네.	[1]	[1]	[7]
2	DG0001	20.098	20.243	CONTINUER	예.	[2]	[3]	[10]
3	DG0001	29.106	29.486	CONTINUER	네.	[2]	[4]	[14]
4	DG0001	35.722	36.332	CONTINUER	음.	[2]	[5]	[17]
5	DG0001	38.454	39.084	CONTINUER	아.	[2]	[6]	[5]
6	DG0001	44.177	44.432	CONTINUER	음.	[2]	[7]	[12]
7	DG0001	55.153	55.528	CONTINUER	네.	[4]	[10]	[4]
8	DG0001	60.163	60.263	CONTINUER	네.	[4]	[10]	[15]
9	DG0001	63.098	64.183	CONTINUER	어. 네.	[4]	[10]	[22]
10	DG0002	74.374	74.539	CONTINUER	네.	[5]	[11]	[23]
11	DG0001	93.133	94.813	CONTINUER	음. 네.	[6]	[15]	[6]
12	DG0001	103.049	103.314	CONTINUER	네.	[6]	[16]	[19]
13	DG0002	118.434	118.984	AFFIRMATIVE	맞습니다.	[7]	[19]	[10]
14	DG0001	126.212	126.362	CONTINUER	네.	[8]	[20]	[7]
15	DG0001	128.552	129.087	CONTINUER	음.	[8]	[20]	[13]
16	DG0001	139.773	140.263	CONTINUER	음.	[8]	[21]	[17]
17	DG0001	161.26	161.785	CONTINUER	음.	[10]	[24]	[9]
18	DG0001	166.362	166.657	CONTINUER	네.	[10]	[25]	[10]
19	DG0001	173.337	173.762	CONTINUER	네.	[10]	[26]	[17]
20	DG0001	177.162	177.377	CONTINUER	네.	[10]	[27]	[9]
21	DG0001	191.579	192.079	CONTINUER	음.	[12]	[29]	[14]
22	DG0001	194.676	195.041	CONTINUER	네.	[12]	[30]	[9]
23	DG0001	198.011	198.126	CONTINUER	네.	[12]	[30]	[15]
24	DG0001	202.197	202.552	CONTINUER	네.	[12]	[31]	[8]
25	DG0002	217.582	217.822	CONTINUER	네.	[13]	[33]	[11]
26	DG0002	229.77	230.055	CONTINUER	네.	[13]	[34]	[20]
27	DG0001	234.347	234.507	CONTINUER	음.	[14]	[35]	[8]
28	DG0001	240.212	240.372	CONTINUER	네.	[14]	[35]	[25]
29	DG0001	247.18	247.565	CONTINUER	어.	[14]	[36]	[15]
30	DG0001	256.937	257.312	CONTINUER	음.	[14]	[37]	[17]
31	DG0001	267.418	267.688	CONTINUER	네.	[14]	[39]	[10]
32	DG0001	272.226	272.664	CONTINUER	네.	[14]	[39]	[23]
33	DG0001	280.877	281.212	CONTINUER	음.	[14]	[40]	[18]
34	DG0001	282.207	282.422	CONTINUER	네.	[14]	[40]	[22]
35	DG0002	292.943	293.133	CONTINUER	네.	[15]	[41]	[22]
36	DG0001	308.465	308.675	CONTINUER	네.	[16]	[44]	[6]
37	DG0001	314.725	315.295	CONTINUER	음.	[16]	[44]	[21]
38	DG0001	318.311	318.661	CONTINUER	네.	[16]	[45]	[8]
39	DG0001	327.221	327.691	CONTINUER	음.	[16]	[47]	[1]
40	DG0001	330.131	330.361	CONTINUER	네.	[16]	[47]	[8]
41	DG0001	332.146	333.196	CONTINUER	음. 네네.	[16]	[47]	[11]
42	DG0001	342.423	342.833	CONTINUER	네.	[16]	[48]	[22]
43	DG0001	349.17	349.55	CONTINUER	네.	[16]	[49]	[13]
44	DG0001	360.361	360.712	CONTINUER	음.	[16]	[51]	[12]
45	DG0001	377.25	377.465	CONTINUER	네.	[18]	[54]	[8]
46	DG0001	379.865	380.33	CONTINUER	음.	[18]	[54]	[12]
47	DG0001	390.54	390.695	CONTINUER	네.	[20]	[56]	[9]
48	DG0001	392.89	393.45	CONTINUER	음.	[20]	[56]	[15]
49	DG0001	394.25	394.47	CONTINUER	네.	[20]	[56]	[18]
50	DG0001	402.821	403.176	CONTINUER	네.	[20]	[58]	[5]
51	DG0001	407.666	408.051	CONTINUER	음.	[20]	[58]	[14]
52	DG0001	410.322	410.562	CONTINUER	네.	[20]	[59]	[3]
53	DG0001	423.293	423.753	CONTINUER	음.	[20]	[60]	[12]
54	DG0001	446.009	446.349	CONTINUER	네.	[22]	[63]	[26]
55	DG0001	454.867	455.242	CONTINUER	음.	[22]	[65]	[4]
56	DG0001	461.919	462.269	CONTINUER	네.	[22]	[65]	[22]
57	DG0001	465.409	465.944	CONTINUER	음.	[22]	[66]	[10]
