bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	38.629	39.029	CONTINUER	네.	[5]	[6]	[2]
2	DG0001	42.744	43.834	CONTINUER	예예.	[6]	[7]	[4]
3	DG0001	48.314	48.547	CONTINUER	아.	[6]	[7]	[17]
4	DG0001	60.301	60.656	CONTINUER	음음.	[8]	[10]	[6]
5	DG0001	69.551	70.376	UNDERSTANDING	아.	[8]	[11]	[18]
6	DG0001	74.337	75.202	CONTINUER	네.	[8]	[12]	[6]
7	DG0001	81.403	82.078	CONTINUER	음음.	[8]	[14]	[1]
8	DG0001	89.213	90.053	CONTINUER	으흠. 음음.	[8]	[14]	[22]
9	DG0001	103.217	103.897	CONTINUER	네.	[8]	[16]	[15]
10	DG0001	107.382	107.917	CONTINUER	어.	[8]	[16]	[24]
11	DG0001	125.561	126.566	CONTINUER	음.	[8]	[19]	[1]
12	DG0001	140.689	141.583	UNDERSTANDING	아.	[10]	[21]	[19]
13	DG0001	145.712	146.872	CONTINUER	네에. 으음.	[10]	[22]	[9]
14	DG0001	147.897	148.527	CONTINUER	으으으음.	[10]	[22]	[13]
15	DG0001	151.187	152.617	ASSESSMENT	흐음. 음.	[10]	[22]	[20]
16	DG0001	158.679	159.059	CONTINUER	음음.	[10]	[23]	[17]
17	DG0001	172.834	173.424	CONTINUER	음.	[10]	[26]	[1]
18	DG0001	181.449	182.019	CONTINUER	어.	[10]	[26]	[20]
19	DG0001	187.425	187.85	CONTINUER	예.	[12]	[29]	[4]
20	DG0001	191.905	192.495	CONTINUER	음.	[12]	[29]	[15]
21	DG0001	206.773	207.998	CONTINUER	음. 음.	[12]	[30]	[23]
22	DG0001	211.328	211.623	CONTINUER	네.	[12]	[31]	[12]
23	DG0001	217.357	218.022	UNDERSTANDING	어.	[12]	[33]	[3]
24	DG0001	224.325	224.875	CONTINUER	어.	[12]	[33]	[16]
25	DG0001	228.859	229.794	CONTINUER	예.	[12]	[34]	[12]
26	DG0001	236.413	236.813	CONTINUER	어.	[14]	[36]	[2]
27	DG0001	241.803	242.573	CONTINUER	음.	[14]	[36]	[14]
28	DG0001	249.488	250.118	CONTINUER	예.	[14]	[37]	[16]
29	DG0002	408.297	408.557	CONTINUER	네.	[15]	[59]	[1]
30	DG0001	422.377	423.077	CONTINUER	어.	[16]	[60]	[14]
31	DG0001	424.841	425.371	CONTINUER	예.	[16]	[60]	[18]
32	DG0001	432.96	433.39	CONTINUER	어.	[16]	[61]	[12]
33	DG0001	439.124	439.674	UNDERSTANDING	아.	[16]	[62]	[5]
34	DG0001	444.604	446.854	AFFIRMATIVE	음. 맞아요.	[16]	[62]	[16]
35	DG0001	459.245	459.56	CONTINUER	음.	[16]	[64]	[1]
36	DG0001	463.165	465.225	CONTINUER	어어어어어.	[16]	[64]	[10]
37	DG0001	470.495	471.145	CONTINUER	예.	[16]	[64]	[25]
38	DG0001	483.113	483.823	CONTINUER	음음.	[16]	[65]	[28]
39	DG0001	499.783	500.308	CONTINUER	네.	[16]	[68]	[10]
40	DG0001	502.542	503.387	CONTINUER	음.	[16]	[68]	[19]
41	DG0001	510.393	510.583	CONTINUER	예.	[16]	[69]	[15]
42	DG0001	518.978	519.958	UNDERSTANDING	아.	[16]	[71]	[9]
43	DG0001	531.218	531.893	CONTINUER	어어.	[16]	[72]	[24]
44	DG0001	544.527	546.362	CONTINUER	어. 어어. 어.	[16]	[74]	[15]
45	DG0001	551.633	552.163	CONTINUER	어.	[16]	[75]	[9]
46	DG0001	554.533	554.978	CONTINUER	음.	[16]	[75]	[13]
47	DG0001	558.703	559.403	CONTINUER	으흠.	[16]	[75]	[20]
48	DG0001	567.013	567.873	CONTINUER	예예.	[16]	[77]	[6]
49	DG0001	578.808	579.013	CONTINUER	음.	[16]	[78]	[17]
50	DG0001	581.138	581.448	CONTINUER	아아.	[16]	[78]	[22]
51	DG0001	586.092	586.512	CONTINUER	으흠.	[16]	[79]	[8]
52	DG0001	597.259	598.144	CONTINUER	어.	[16]	[81]	[6]
53	DG0001	602.564	603.224	UNDERSTANDING	아.	[16]	[81]	[16]
54	DG0001	615.414	615.869	CONTINUER	어어어.	[18]	[84]	[17]
55	DG0001	622.229	622.794	CONTINUER	네.	[18]	[86]	[4]
