uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	SL0001	0.0	0.822	안녕하십니까	[]
1	1	2	SL0001	2.084	2.465	전쟁을	[]
1	1	3	SL0001	2.586	2.926	치르고	[]
1	1	4	SL0001	3.067	3.407	가난에	[]
1	1	5	SL0001	3.488	3.688	찌든	[]
1	1	6	SL0001	3.748	3.949	나라	[]
1	1	7	SL0001	4.089	4.73	대한민국이	[]
1	1	8	SL0001	4.931	5.251	오늘에	[]
1	1	9	SL0001	5.271	5.933	이르기까지	[]
1	1	10	SL0001	5.953	7.075	무엇보다	[]
1	1	11	SL0001	7.216	7.616	교육열이	[]
1	1	12	SL0001	7.717	7.817	큰	[]
1	1	13	SL0001	7.877	8.138	역할을	[]
1	1	14	SL0001	8.158	8.819	했습니다.	[]
1	2	1	SL0001	8.819	9.761	그런데	[]
1	2	2	SL0001	9.801	10.061	이제	[]
1	2	3	SL0001	10.221	10.622	한국의	[]
1	2	4	SL0001	10.722	11.063	교육이	[]
1	2	5	SL0001	11.143	11.424	나눔의	[]
1	2	6	SL0001	11.444	11.664	수단이	[]
1	2	7	SL0001	11.724	12.045	되어서	[]
1	2	8	SL0001	12.445	12.786	저개발	[]
1	2	9	SL0001	12.846	13.147	국가들을	[]
1	2	10	SL0001	13.207	13.427	돕고	[]
1	2	11	SL0001	13.447	14.008	있는데요.	[]
1	3	1	SL0001	14.008	14.87	이비에스	[]
1	3	2	SL0001	14.93	15.051	교육	[]
1	3	3	SL0001	15.151	15.392	초대석	[]
1	3	4	SL0001	15.873	16.194	오늘은	[]
1	3	5	SL0001	16.394	16.916	서울대학교	[]
1	3	6	SL0001	17.016	17.517	교수이자	[]
1	3	7	SL0001	17.658	18.159	국경없는	[]
1	3	8	SL0001	18.239	18.6	교육가회의	[]
1	3	9	SL0001	18.7	19.202	공동대표를	[]
1	3	10	SL0001	19.262	19.422	맡고	[]
1	3	11	SL0001	19.462	19.763	계신	[]
1	3	12	SL0001	20.164	20.405	교수를	[]
1	3	13	SL0001	20.485	20.786	모시고	[]
1	3	14	SL0001	21.147	21.367	말씀	[]
1	3	15	SL0001	21.407	21.688	나눠보도록	[]
1	3	16	SL0001	21.768	22.189	하겠습니다	[]
1	3	17	SL0001	22.45	22.611	교수님	[]
1	3	18	SL0001	22.631	23.172	안녕하십니까?	[]
1	4	1	SL0001	23.172	23.437	인상이	[]
1	4	2	SL0001	23.498	23.559	참	[]
1	4	3	SL0001	23.64	24.149	좋으세요.	[]
2	5	1	SL0002	24.149	25.353	저를	[]
2	5	2	SL0002	25.413	25.633	보면	[]
2	5	3	SL0002	25.714	25.854	누구	[]
2	5	4	SL0002	25.894	26.356	닮았다	[]
2	5	5	SL0002	26.396	26.576	이렇게	[]
2	5	6	SL0002	26.616	27.038	생각되지	[]
2	5	7	SL0002	27.058	27.539	않으세요?	[]
3	6	1	SL0001	27.539	29.428	글쎄	[]
3	6	2	SL0001	29.488	29.709	누구를	[]
3	6	3	SL0001	29.75	30.172	말씀하시는	[]
3	6	4	SL0001	30.212	30.694	건지요?	[]
4	7	1	SL0002	30.694	31.495	제가	[]
4	7	2	SL0002	31.816	32.577	아프리카에는	[]
4	7	3	SL0002	33.539	34.08	코빌로	[]
4	7	4	SL0002	34.12	34.38	알려진	[]
4	7	5	SL0002	34.4	34.921	사람입니다	[]
4	7	6	SL0002	35.021	35.302	코빌.	[]
5	8	1	SL0001	35.522	36.19	코빌이요?	[]
6	9	1	SL0002	36.311	36.471	예	[]
6	9	2	SL0002	37.033	37.174	그런	[]
6	9	3	SL0002	37.374	37.755	코리아	[]
6	9	4	SL0002	37.916	38.738	@이름1	[]
6	9	5	SL0002	38.878	39.199	그것을	[]
6	9	6	SL0002	39.881	40.784	기니까	[1]
6	9	7	SL0002	41.085	41.606	줄여서	[]
6	9	8	SL0002	42.328	42.71	코빌	[]
6	9	9	SL0002	42.97	43.071	이렇게	[]
6	9	10	SL0002	43.111	43.191	합니다.	[2]
6	10	1	SL0002	43.45	43.992	아프리카	[]
6	10	2	SL0002	44.112	44.775	친구들은	[]
6	10	3	SL0002	44.915	45.176	전부	[]
6	10	4	SL0002	45.236	45.417	저를	[]
6	10	5	SL0002	45.557	46.039	코빌이라	[]
6	10	6	SL0002	46.099	46.34	그래요.	[]
7	11	1	SL0001	46.846	47.107	그러고	[]
7	11	2	SL0001	47.167	47.488	보니까요	[]
7	11	3	SL0001	47.588	47.969	그런데	[]
7	11	4	SL0001	48.43	48.59	그런	[]
7	11	5	SL0001	48.65	48.971	말씀을	[]
7	11	6	SL0001	49.051	49.934	들으면	[]
7	11	7	SL0001	50.475	50.655	뭐	[]
7	11	8	SL0001	50.856	51.237	@이름1도	[]
7	11	9	SL0001	51.317	51.497	상당히	[]
7	11	10	SL0001	51.598	51.878	좋아할	[]
7	11	11	SL0001	51.959	51.999	것	[]
7	11	12	SL0001	52.039	52.52	같은데요.	[]
8	12	1	SL0002	52.522	53.37	사실은	[]
8	12	2	SL0002	53.411	53.613	나이가	[]
8	12	3	SL0002	53.653	53.956	그쪽이	[]
8	12	4	SL0002	53.997	54.542	많습니다.	[]
9	13	1	SL0001	54.861	55.101	아	[]
9	13	2	SL0001	55.202	56.183	그렇군요	[]
9	13	3	SL0001	56.524	56.604	그	[]
