uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	DG0001	0.569	0.729	그	[]
1	1	2	DG0001	0.809	1.01	요일	[]
1	1	3	DG0001	1.13	1.39	중에	[]
1	1	4	DG0001	1.63	2.111	하나가	[]
1	1	5	DG0001	2.211	2.672	대학생의	[]
1	1	6	DG0001	2.732	4.174	밤이	[]
1	1	7	DG0001	4.274	4.654	@이름7	[]
1	1	8	DG0001	4.734	4.894	씨가	[]
1	1	9	DG0001	4.975	5.255	사회를	[]
1	1	10	DG0001	5.315	5.555	봤고	[]
1	1	11	DG0001	5.615	7.037	홍대생인데	[]
1	1	12	DG0001	7.538	7.998	거기에	[]
1	1	13	DG0001	8.018	8.339	인제	[]
1	1	14	DG0001	8.819	8.839	어	[]
1	2	1	DG0001	10.555	11.315	@이름3	[]
1	2	2	DG0001	11.335	11.355	씨	[]
1	2	3	DG0001	12.516	12.696	손에	[]
1	2	4	DG0001	12.736	13.196	이끌려서	[]
1	2	5	DG0001	13.276	13.576	@이름2	[]
1	2	6	DG0001	13.656	13.796	씨가	[]
1	2	7	DG0001	13.856	13.936	거기	[]
1	2	8	DG0001	13.996	14.457	있고	[]
1	2	9	DG0001	14.897	15.237	거기서	[]
1	2	10	DG0001	15.377	15.477	또	[]
1	2	11	DG0001	16.317	16.458	또	[]
1	2	12	DG0001	16.718	17.078	@이름7	[]
1	2	13	DG0001	17.178	17.258	씨에	[]
1	2	14	DG0001	17.318	18.018	이끌려가지고	[]
1	2	15	DG0001	18.398	18.859	@이름1	[]
1	2	16	DG0001	18.979	19.139	씨도	[]
1	2	17	DG0001	19.259	19.539	거기	[]
1	2	18	DG0001	19.599	19.879	갔고	[]
1	2	19	DG0001	19.899	20.299	이렇게	[]
1	2	20	DG0001	20.379	20.559	해서	[]
1	2	21	DG0001	20.619	20.739	다	[]
1	2	22	DG0001	20.779	21.06	만나게	[]
1	2	23	DG0001	21.1	21.18	된	[]
1	2	24	DG0001	21.2	21.24	거죠	[]
1	2	25	DG0001	21.26	21.34	보면	[]
2	3	1	DG0002	22.215	22.436	와	[]
2	3	2	DG0002	22.557	22.758	진짜	[]
2	3	3	DG0002	22.838	23.18	다양한	[]
2	3	4	DG0002	23.261	23.522	공연이	[]
2	3	5	DG0002	23.562	24.025	이루어졌어요.	[]
3	4	1	DG0001	25.482	25.783	이	[]
3	4	2	DG0001	25.803	26.104	여기서	[]
3	4	3	DG0001	26.364	27.026	최고의	[]
3	4	4	DG0001	27.186	27.507	메인	[]
3	4	5	DG0001	27.948	28.65	사회자는	[]
3	4	6	DG0001	29.351	29.913	@이름8이라	[]
3	4	7	DG0001	29.933	30.173	그랬던	[]
3	4	8	DG0001	30.254	30.635	@이름9	[]
3	4	9	DG0001	30.715	31.236	선생님이	[]
3	4	10	DG0001	31.737	32.158	쎄시봉에	[]
3	4	11	DG0001	32.579	32.8	메인	[]
3	4	12	DG0001	32.88	33.722	사회자였어요.	[]
4	5	1	DG0002	33.849	33.97	저	[]
4	5	2	DG0002	34.111	34.454	처음	[]
4	5	3	DG0002	34.515	34.696	듣는	[]
4	5	4	DG0002	34.797	36.411	얘기예요.	[]
5	6	1	DG0001	36.851	37.392	그	[]
5	6	2	DG0001	37.412	37.432	그	[]
5	6	3	DG0001	37.732	37.813	그	[]
5	6	4	DG0001	37.853	38.213	당시에	[]
5	6	5	DG0001	38.233	38.253	곽	[]
5	6	6	DG0001	38.934	39.335	@이름8	[]
5	6	7	DG0001	39.355	39.936	@이름9이라	[]
5	6	8	DG0001	39.956	40.397	그러면은	[]
5	6	9	DG0001	40.918	41.378	지상파	[]
5	6	10	DG0001	41.499	42.08	티비에서도	[]
5	6	11	DG0001	42.18	42.56	거의	[]
5	6	12	DG0001	42.801	43.001	음악	[]
5	6	13	DG0001	43.161	43.722	프로그램이나	[]
5	6	14	DG0001	43.742	43.983	이렇게	[]
5	6	15	DG0001	44.063	44.243	예능	[]
5	6	16	DG0001	44.363	44.804	프로그램들	[]
5	7	1	DG0001	45.465	45.566	그	[]
5	7	2	DG0001	45.686	45.847	사회	[1]
5	7	3	DG0001	45.928	46.169	보신	[]
5	7	4	DG0001	46.773	47.356	최고의	[]
5	7	5	DG0001	47.738	48.402	진행자죠.	[]
6	8	1	DG0002	48.78	48.98	저는	[]
6	8	2	DG0002	49.04	49.281	어렸을	[]
6	8	3	DG0002	49.381	49.481	때	[]
6	8	4	DG0002	49.621	50.162	그	[]
6	8	5	DG0002	50.723	51.484	슈슈슈라는	[]
6	8	6	DG0002	51.584	52.465	프로그램을	[]
6	8	7	DG0002	52.885	53.346	맞죠	[]
6	8	8	DG0002	53.406	53.927	맞죠	[]
6	8	9	DG0002	53.947	54.327	예	[]
6	8	10	DG0002	54.467	54.548	그	[]
6	8	11	DG0002	54.588	54.788	그	[]
6	8	12	DG0002	54.848	55.208	선생님	[]
6	8	13	DG0002	55.248	55.689	나오셔가지고	[]
6	8	14	DG0002	55.749	55.889	사회	[]
6	8	15	DG0002	55.949	56.21	봤던	[]
6	8	16	DG0002	56.41	56.43	거	[]
7	9	1	DG0001	56.505	56.625	그럴	[]
7	9	2	DG0001	56.726	56.947	때는	[]
7	9	3	DG0001	57.488	57.669	한국	[]
7	9	4	DG0001	57.749	58.231	최초의	[]
7	9	5	DG0001	58.672	58.713	댄스	[]
7	9	6	DG0001	58.753	59.014	가수인	[]
7	9	7	DG0001	59.094	59.375	@이름10	[]
7	9	8	DG0001	59.435	59.816	선생님	[]
7	9	9	DG0001	59.836	60.438	그분도	[2]
7	9	10	DG0001	60.459	60.619	활	[]
7	9	11	DG0001	60.639	60.659	예	[]
7	10	1	DG0001	63.262	63.782	그분도	[]
7	10	2	DG0001	63.902	64.103	노래를	[]
7	10	3	DG0001	64.223	64.423	불렀고	[]
7	10	4	DG0001	64.503	64.963	심지어는	[]
7	10	5	DG0001	65.063	65.503	그분이	[]
7	10	6	DG0001	66.424	67.185	그	[]
7	10	7	DG0001	67.485	67.565	십	[]
7	10	8	DG0001	67.685	67.745	대	[]
7	10	9	DG0001	67.785	68.065	가수	[]
7	10	10	DG0001	68.245	68.525	들었을	[]
7	10	11	DG0001	68.645	68.826	때	[]
7	10	12	DG0001	69.286	69.506	한국	[]
7	10	13	DG0001	69.606	69.786	최초	[]
7	10	14	DG0001	69.846	70.787	골든디스크까지	[]
7	10	15	DG0001	71.007	71.347	쎄시봉에서	[]
7	10	16	DG0001	71.387	71.667	만들어	[]
7	10	17	DG0001	71.848	72.528	줬거든요.	[3]
7	11	1	DG0001	73.347	73.827	@이름11	[]
7	11	2	DG0001	73.887	75.968	선생님한테도	[4]
7	11	3	DG0001	76.068	77.949	그러니까	[]
7	11	4	DG0001	78.25	78.37	이게	[]
7	11	5	DG0001	78.49	78.77	너무	[]
7	11	6	DG0001	78.83	79.09	얘기할	[]
7	11	7	DG0001	79.21	79.29	게	[]
7	11	8	DG0001	79.35	79.73	많아서	[]
7	11	9	DG0001	79.79	80.191	사실은	[]
