bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	AH0002	15.813	16.328	CONTINUER	네.	[1]	[2]	[11]
2	AH0001	19.481	19.885	CONTINUER	네.	[2]	[3]	[2]
3	AH0001	25.802	26.017	CONTINUER	음.	[2]	[4]	[11]
4	AH0002	33.796	34.146	CONTINUER	네.	[3]	[6]	[5]
5	AH0002	43.032	43.612	AFFIRMATIVE	그럼요.	[5]	[8]	[18]
6	AH0002	58.888	59.498	AFFIRMATIVE	맞습니다.	[7]	[12]	[9]
7	AH0001	63.351	63.681	CONTINUER	어.	[8]	[13]	[6]
8	AH0001	71.021	71.451	CONTINUER	네.	[8]	[14]	[11]
9	AH0001	76.331	76.651	CONTINUER	음.	[8]	[14]	[19]
10	AH0001	82.109	82.474	CONTINUER	어.	[10]	[17]	[8]
11	AH0001	83.489	83.929	CONTINUER	네.	[10]	[17]	[12]
12	AH0001	87.585	89.12	UNDERSTANDING	아.	[10]	[17]	[19]
