bid	speaker	start	end	category	text	respondee_uid	respondee_sid	respondee_wid
1	DG0002	4.36	4.605	CONTINUER	응.	[1]	[1]	[7]
2	DG0001	16.679	17.194	CONTINUER	응.	[2]	[3]	[6]
3	DG0001	22.954	23.138	CONTINUER	네.	[2]	[3]	[17]
4	DG0001	24.892	25.327	CONTINUER	어.	[2]	[4]	[6]
5	DG0001	26.656	26.951	CONTINUER	예.	[2]	[5]	[3]
6	DG0001	30.706	31.606	AFFIRMATIVE	맞아요. 예.	[2]	[5]	[13]
7	DG0001	35.843	36.068	CONTINUER	응.	[2]	[6]	[5]
8	DG0001	41.741	41.986	CONTINUER	예.	[4]	[8]	[4]
9	DG0001	46.686	46.801	CONTINUER	어.	[4]	[8]	[12]
10	DG0001	50.441	50.826	AFFIRMATIVE	맞아요.	[6]	[10]	[4]
11	DG0001	56.711	57.041	CONTINUER	아.	[6]	[10]	[13]
12	DG0001	59.496	61.416	UNDERSTANDING	아. 예.	[6]	[11]	[1]
13	DG0001	68.081	69.456	CONTINUER	네. 네.	[6]	[11]	[19]
14	DG0001	73.353	73.803	CONTINUER	음.	[6]	[12]	[10]
15	DG0001	87.223	88.793	AFFIRMATIVE	그치그치. 네.	[10]	[16]	[4]
16	DG0001	100.641	100.741	CONTINUER	네.	[10]	[17]	[17]
17	DG0001	114.447	114.987	CONTINUER	네네.	[12]	[19]	[20]
18	DG0001	119.029	119.314	CONTINUER	예.	[12]	[20]	[6]
19	DG0001	122.234	125.264	UNDERSTANDING	아아아. 아.	[12]	[20]	[15]
20	DG0002	130.34	130.85	AFFIRMATIVE	그렇죠.	[13]	[21]	[9]
21	DG0001	152.743	152.898	CONTINUER	네.	[14]	[24]	[5]
22	DG0001	157.243	157.518	CONTINUER	네.	[14]	[24]	[15]
23	DG0001	161.524	161.753	CONTINUER	예.	[14]	[25]	[10]
24	DG0001	164.054	165.164	UNDERSTANDING	아.	[14]	[26]	[8]
25	DG0001	172.66	172.98	CONTINUER	네네.	[14]	[27]	[4]
26	DG0001	175.335	175.55	CONTINUER	어.	[14]	[27]	[9]
27	DG0002	181.57	182.035	CONTINUER	네.	[15]	[29]	[1]
28	DG0002	186.13	186.565	CONTINUER	네네.	[15]	[29]	[10]
29	DG0001	191.918	192.078	CONTINUER	네.	[16]	[30]	[7]
30	DG0001	193.383	193.628	CONTINUER	어.	[16]	[30]	[11]
31	DG0001	196.788	197.313	CONTINUER	음.	[16]	[30]	[16]
32	DG0001	199.453	199.598	CONTINUER	응.	[16]	[30]	[21]
33	DG0001	207.251	207.55	CONTINUER	네.	[16]	[31]	[13]
34	DG0001	209.675	209.884	CONTINUER	에.	[16]	[32]	[6]
35	DG0001	214.759	215.999	UNDERSTANDING	아.	[16]	[33]	[12]
36	DG0001	222.046	222.181	CONTINUER	응.	[16]	[35]	[10]
37	DG0001	228.891	229.256	CONTINUER	네.	[16]	[36]	[10]
38	DG0001	234.774	235.179	CONTINUER	예예.	[18]	[38]	[7]
39	DG0001	238.0	238.089	CONTINUER	오.	[18]	[38]	[13]
40	DG0001	243.879	244.334	CONTINUER	예.	[18]	[39]	[17]
41	DG0001	247.314	247.519	CONTINUER	응.	[18]	[40]	[5]
42	DG0001	250.754	252.119	CONTINUER	어. 네네네.	[18]	[40]	[15]
43	DG0001	254.401	255.111	CONTINUER	어.	[18]	[41]	[2]
44	DG0001	256.926	257.231	CONTINUER	예.	[18]	[41]	[6]
45	DG0001	261.075	261.191	CONTINUER	예.	[18]	[41]	[14]
46	DG0001	263.233	263.347	CONTINUER	네.	[18]	[42]	[4]
47	DG0001	266.928	267.083	CONTINUER	어.	[18]	[42]	[11]
48	DG0001	276.057	277.477	ASSESSMENT	허. 예.	[18]	[43]	[11]
49	DG0001	281.156	281.316	CONTINUER	응.	[18]	[44]	[3]
50	DG0001	296.602	297.377	UNDERSTANDING	아하.	[20]	[46]	[8]
51	DG0001	299.327	299.757	CONTINUER	예예.	[20]	[46]	[16]
52	DG0001	302.386	302.562	CONTINUER	네.	[20]	[46]	[21]
53	DG0001	304.377	304.517	CONTINUER	예.	[20]	[47]	[4]
54	DG0001	306.307	307.072	AFFIRMATIVE	그쵸. 예.	[20]	[47]	[7]
55	DG0001	309.167	309.292	CONTINUER	응.	[20]	[47]	[14]
56	DG0001	311.672	312.292	UNDERSTANDING	아하.	[20]	[47]	[21]
57	DG0001	319.542	321.002	CONTINUER	응. 아.	[20]	[48]	[18]
58	DG0001	326.178	326.298	CONTINUER	예.	[20]	[49]	[10]
59	DG0001	327.108	327.393	CONTINUER	네.	[20]	[49]	[11]
60	DG0001	329.843	329.988	CONTINUER	예.	[20]	[49]	[16]
61	DG0001	332.294	333.639	UNDERSTANDING	아. 그렇구나.	[20]	[50]	[5]
62	DG0001	334.944	335.218	CONTINUER	네.	[20]	[50]	[12]
63	DG0002	343.057	343.437	CONTINUER	네.	[21]	[52]	[12]
64	DG0002	344.832	345.127	CONTINUER	네.	[21]	[52]	[14]
65	DG0001	348.696	348.821	CONTINUER	예.	[22]	[53]	[6]
66	DG0001	356.846	357.031	CONTINUER	네.	[22]	[53]	[25]
67	DG0001	367.874	368.134	CONTINUER	네.	[24]	[55]	[12]
68	DG0001	374.91	375.135	CONTINUER	예.	[26]	[57]	[7]
69	DG0002	382.371	383.311	AFFIRMATIVE	그렇죠. 네.	[27]	[58]	[11]
