uid	sid	wid	speaker	start	end	text	backchannels
1	1	1	AH0001	0.5	1.241	자	[]
1	1	2	AH0001	1.361	1.501	저희는	[]
1	1	3	AH0001	1.581	1.921	로고송	[]
1	1	4	AH0001	2.001	2.202	듣고	[]
1	1	5	AH0001	2.222	2.522	와서	[]
1	1	6	AH0001	2.822	3.002	이거	[]
1	1	7	AH0001	3.183	3.463	보통이	[]
1	1	8	AH0001	3.503	3.823	아니네	[]
1	1	9	AH0001	4.003	4.324	@이름217	[]
1	1	10	AH0001	4.384	4.624	작가님	[]
1	1	11	AH0001	4.864	5.725	만나보겠습니다.	[]
1	2	1	AH0001	5.726	7.871	보통인듯	[]
1	2	2	AH0001	8.071	8.613	보통아닌	[]
1	2	3	AH0001	8.653	8.713	것	[]
1	2	4	AH0001	8.753	8.993	같은	[]
1	2	5	AH0001	9.094	9.154	내	[]
1	2	6	AH0001	9.194	9.695	인생	[]
1	2	7	AH0001	10.056	10.276	다들	[]
1	2	8	AH0001	10.317	10.717	그런지	[]
1	2	9	AH0001	11.138	11.339	어디	[]
1	2	10	AH0001	11.399	11.62	얘기나	[]
1	2	11	AH0001	11.68	12.702	들어볼까요?	[]
2	3	1	AH0002	12.701	13.423	@이름217의	[]
2	3	2	AH0002	13.704	13.944	이거	[]
2	3	3	AH0002	14.105	14.486	보통이	[]
2	3	4	AH0002	14.526	14.726	아니네.	[]
3	4	1	AH0001	15.468	16.416	네	[]
3	4	2	AH0001	16.557	16.9	@이름217	[]
3	4	3	AH0001	16.94	17.182	작가님	[]
3	4	4	AH0001	17.203	17.546	오셨습니다	[]
3	4	5	AH0001	17.606	17.989	안녕하세요.	[]
4	5	1	AH0002	18.192	18.375	네	[]
4	5	2	AH0002	18.416	19.026	안녕하세요.	[]
5	6	1	AH0001	19.474	19.534	참	[]
5	6	2	AH0001	19.554	19.715	이	[]
5	6	3	AH0001	19.735	20.016	휴일에	[]
5	6	4	AH0001	20.237	20.458	특히	[]
5	6	5	AH0001	20.478	20.518	또	[]
5	6	6	AH0001	20.538	20.558	이	[]
5	6	7	AH0001	21.402	21.763	가정의	[]
5	6	8	AH0001	21.843	22.124	달에	[]
5	6	9	AH0001	22.225	22.446	연휴	[]
5	6	10	AH0001	22.928	23.61	쉽지않은데.	[1]
5	6	11	AH0001	24.233	24.634	와주셔서	[]
5	6	12	AH0001	24.674	25.176	감사합니다.	[2]
6	7	1	AH0002	25.361	25.401	저	[]
6	7	2	AH0002	25.481	25.783	오늘	[]
6	7	3	AH0002	26.044	26.425	스튜디오	[]
6	7	4	AH0002	26.445	26.787	왔다가	[]
6	7	5	AH0002	26.887	27.67	비어있어가지고	[]
6	7	6	AH0002	28.494	28.655	녹음	[]
6	7	7	AH0002	28.695	28.815	안	[]
6	7	8	AH0002	28.835	28.996	하는	[]
6	7	9	AH0002	29.056	29.277	줄	[]
6	7	10	AH0002	29.377	29.498	알고	[]
6	7	11	AH0002	29.578	29.679	깜짝	[]
6	7	12	AH0002	29.719	30.482	놀랐어요.	[]
7	8	1	AH0001	30.482	31.043	그렇죠	[]
7	8	2	AH0001	31.083	31.243	이런	[]
7	8	3	AH0001	31.323	31.524	날에	[]
7	8	4	AH0001	31.644	31.824	저도	[]
7	8	5	AH0001	31.864	31.944	좀	[]
7	8	6	AH0001	31.984	32.325	이상함을	[]
7	8	7	AH0001	32.365	32.625	느끼는	[]
7	8	8	AH0001	32.706	32.966	게.	[3]
7	8	9	AH0001	33.146	33.407	보통	[]
7	8	10	AH0001	33.707	33.847	아	[]
7	8	11	AH0001	33.907	34.188	@상호명91	[]
7	8	12	AH0001	34.248	34.549	로비가	[]
7	8	13	AH0001	34.669	35.049	엄청	[]
7	8	14	AH0001	35.45	36.231	북적북적하거든요.	[]
8	9	1	AH0002	36.712	37.18	주차도	[]
8	9	2	AH0002	37.241	37.547	그렇고.	[]
9	10	1	AH0001	37.951	38.131	예	[]
9	10	2	AH0001	38.272	38.352	가	[]
9	10	3	AH0001	38.472	38.752	각종	[]
9	10	4	AH0001	38.792	38.993	이제	[]
9	10	5	AH0001	39.073	39.614	어린이	[]
9	10	6	AH0001	40.134	40.595	프로그램에	[]
9	10	7	AH0001	40.675	41.216	참여하는	[]
9	10	8	AH0001	41.396	41.897	아동들	[]
9	10	9	AH0001	41.997	42.759	청소년들	[4]
9	10	10	AH0001	42.879	43.179	뭐	[]
9	10	11	AH0001	43.239	43.7	관련되시는	[]
9	10	12	AH0001	43.78	43.9	분들	[]
9	10	13	AH0001	43.92	44.281	엄청나게	[]
9	10	14	AH0001	44.321	44.822	많으세요	[5]
9	10	15	AH0001	44.982	45.142	막	[]
9	10	16	AH0001	45.162	45.803	북적북적한데	[]
9	10	17	AH0001	46.605	46.785	이런	[]
9	10	18	AH0001	46.845	47.165	날에는	[]
9	10	19	AH0001	47.887	49.469	한산합니다.	[]
10	11	1	AH0002	49.126	49.146	어.	[]
10	12	1	AH0002	49.469	49.914	정말	[]
10	12	2	AH0002	49.934	50.663	한산하더라구요.	[]
11	13	1	AH0001	50.66	51.101	엘리베이터	[]
11	13	2	AH0001	51.141	51.382	잡는	[]
11	13	3	AH0001	51.402	51.543	것도	[]
11	13	4	AH0001	51.563	51.944	힘든데	[6]
11	13	5	AH0001	52.746	52.947	바로	[]
11	13	6	AH0001	52.967	53.448	옵니다.	[]
12	14	1	AH0002	53.448	54.154	맞아요.	[]
12	15	1	AH0002	54.154	55.242	같은	[]
12	15	2	AH0002	55.302	55.383	걸	[]
12	15	3	AH0002	55.403	56.612	느끼셨군요.	[]
13	16	1	AH0001	56.611	57.452	어	[]
13	16	2	AH0001	57.553	57.653	참	[]
13	16	3	AH0001	57.733	58.454	이런	[]
13	16	4	AH0001	58.835	59.075	어떻게	[]
13	16	5	AH0001	59.095	59.255	보면	[]
13	16	6	AH0001	59.395	59.736	편리하기는	[]
13	16	7	AH0001	59.756	60.077	하지만	[7]
13	16	8	AH0001	60.137	60.657	그만큼	[]
13	16	9	AH0001	60.718	60.958	우리가	[]
13	16	10	AH0001	61.118	61.238	또	[]
13	16	11	AH0001	61.459	61.679	휴일에	[]
13	16	12	AH0001	61.739	62.12	나와있다는	[]
13	16	13	AH0001	62.16	62.44	사실을	[8]
13	16	14	AH0001	62.661	63.041	자각하게	[]
13	16	15	AH0001	63.081	63.222	되는	[]
13	16	16	AH0001	63.342	63.602	순간이	[]
13	16	17	AH0001	63.622	63.822	아닐까	[]
13	16	18	AH0001	63.863	64.764	싶습니다.	[]
14	17	1	AH0002	64.229	64.654	좋네요.	[]
15	18	1	AH0001	64.766	65.369	어	[]
15	18	2	AH0001	65.389	65.75	그런데	[]
15	18	3	AH0001	65.831	65.891	오	[]
15	18	4	AH0001	66.011	66.132	월	[]
15	18	5	AH0001	66.212	66.674	정말	[]
15	18	6	AH0001	66.915	67.197	가정의	[]
15	18	7	AH0001	67.237	67.578	달이고.	[]
15	18	8	AH0001	67.739	68.322	정말	[9]
15	18	9	AH0001	68.563	68.844	힘드실	[]
15	18	10	AH0001	68.904	68.944	것	[]
15	18	11	AH0001	69.025	69.527	같아요.	[]
15	19	1	AH0001	69.527	69.587	우리	[]
15	19	2	AH0001	69.687	69.968	모두가	[]
15	19	3	AH0001	70.028	70.268	사실	[10]
15	19	4	AH0001	70.348	70.789	그렇겠지만	[]
15	19	5	AH0001	71.009	71.27	@이름217	[]
15	19	6	AH0001	71.33	71.79	작가님도	[]
15	19	7	AH0001	71.971	72.111	여러	[]
15	19	8	AH0001	72.171	72.431	가지로	[]
15	19	9	AH0001	72.511	72.752	신경	[]
15	19	10	AH0001	72.832	72.892	쓸	[]
15	19	11	AH0001	72.972	73.212	것들이	[]
15	19	12	AH0001	73.232	73.373	있지	[]
15	19	13	AH0001	73.413	73.553	않을까	[]
15	19	14	AH0001	73.613	73.793	생각이	[]
15	19	15	AH0001	73.853	74.254	들어요.	[]
16	20	1	AH0002	74.256	74.526	저요?	[]
17	21	1	AH0001	74.879	74.9	네.	[]
18	22	1	AH0002	75.351	76.114	일단은	[11]
18	22	2	AH0002	76.676	77.118	오월일일	[]
18	22	3	AH0002	77.198	77.479	지난주	[]
18	22	4	AH0002	77.539	78.041	방송에도	[]
18	22	5	AH0002	78.142	78.784	말씀드렸지만	[]
18	22	6	AH0002	79.045	79.487	노동자의	[]
18	22	7	AH0002	79.567	79.587	날.	[]
19	23	1	AH0001	79.81	80.66	직원을	[]
19	23	2	AH0001	80.741	80.983	챙겨야	[]
19	23	3	AH0001	81.064	81.368	되고	[]
19	23	4	AH0001	81.773	81.793	네.	[]
20	24	1	AH0002	81.813	82.835	오늘은	[]
20	24	2	AH0002	83.036	83.176	이제	[]
20	24	3	AH0002	83.256	83.637	어린이날	[]
20	24	4	AH0002	83.697	83.938	대체	[]
20	24	5	AH0002	84.058	84.92	휴일이기때문에	[12]
20	24	6	AH0002	85.22	85.421	역시	[]
20	24	7	AH0002	85.541	85.601	또	[]
20	24	8	AH0002	85.721	86.062	출근을	[]
20	24	9	AH0002	86.082	86.102	안	[]
20	24	10	AH0002	86.664	88.006	하게	[]
20	24	11	AH0002	88.047	88.207	여러	[]
20	24	12	AH0002	88.267	88.467	가지가	[]
20	24	13	AH0002	88.528	88.548	있	[]
20	24	14	AH0002	88.728	88.848	여러	[]
